epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6233333333333333,0.49656799656799655,0.49656799656799655,0.6233333333333333,0.6233333333333333,0.6233333333333333,0.5075590399901072
1,0.6216666666666667,0.5333547833547834,0.5333547833547834,0.6216666666666667,0.6216666666666667,0.6216666666666667,0.5063674676418305
2,0.6016666666666667,0.5314242814242814,0.5314242814242814,0.6016666666666667,0.6016666666666667,0.6016666666666667,0.5053929301102956
3,0.585,0.5507293007293007,0.5507293007293008,0.585,0.585,0.585,0.504157159725825
4,0.5833333333333334,0.5521950521950523,0.5521950521950523,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5032405344645182
5,0.575,0.553946803946804,0.553946803946804,0.575,0.575,0.575,0.5022410639127095

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_met
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
