epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.5141735672950745,0.4953611493110657,0.49909472465515137,0.5337954759597778,0.750609278678894,0.6239027380943298,0.0,0.0
1,0.5512428879737854,0.5392581224441528,0.5597806572914124,0.5661861300468445,0.7018684148788452,0.6267682909965515,0.0,1.0
2,0.556912362575531,0.5569484829902649,0.5828365087509155,0.5930736064910889,0.5564581751823425,0.5741827487945557,0.0,2.0
3,0.5808984041213989,0.5715963840484619,0.5888488292694092,0.5932320356369019,0.6978066563606262,0.6412840485572815,0.0,3.0
4,0.5660706758499146,0.5734283328056335,0.6045255064964294,0.6268817186355591,0.4735986590385437,0.5395649671554565,0.0,4.0
5,0.5713039636611938,0.582891583442688,0.6175498366355896,0.6549999713897705,0.42567020654678345,0.5160019993782043,0.0,5.0
6,0.5599651336669922,0.5752397179603577,0.6258565187454224,0.6622806787490845,0.3679935038089752,0.4731070399284363,0.0,6.0
7,0.5848233699798584,0.5908291935920715,0.6285957098007202,0.6430768966674805,0.5093420147895813,0.5684497356414795,0.0,7.0
8,0.5891844630241394,0.5928225517272949,0.6291471719741821,0.6377502679824829,0.5434606075286865,0.5868421196937561,0.0,8.0
9,0.5843872427940369,0.5909401178359985,0.635472297668457,0.6450939178466797,0.5020308494567871,0.5646413564682007,0.0,9.0
10,0.598342776298523,0.6003826856613159,0.6417967081069946,0.6409090757369995,0.572705090045929,0.6048905849456787,0.0,10.0
11,0.6040121912956238,0.6094118356704712,0.6477631330490112,0.6619859337806702,0.5361494421958923,0.5924596190452576,0.0,11.0
12,0.602703869342804,0.5923575162887573,0.6406745910644531,0.6078166961669922,0.7327376008033752,0.6644567251205444,0.0,12.0
13,0.6031399965286255,0.6012955904006958,0.6379002332687378,0.6314496397972107,0.6263200640678406,0.6288743615150452,0.0,13.0
14,0.603576123714447,0.5964663028717041,0.6346821784973145,0.6163294911384583,0.6929325461387634,0.6523900628089905,0.0,14.0
15,0.591801106929779,0.5889899730682373,0.630643367767334,0.6180945038795471,0.6271324157714844,0.6225807070732117,0.0,15.0
16,0.5617095232009888,0.5769936442375183,0.6278735995292664,0.6652047038078308,0.3696182072162628,0.47519582509994507,0.0,16.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_nonmet
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
