epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6192760575665067,0.6090201954835917,0.6090201954835917,0.6192760575665067,0.6192760575665067,0.6192760575665067,0.0
1,0.6092455298735281,0.5981915702481868,0.5981915702481867,0.6092455298735281,0.6092455298735281,0.6092455298735281,0.0
2,0.6201482773658962,0.6098971791188399,0.6098971791188399,0.6201482773658962,0.6201482773658962,0.6201482773658962,0.0
3,0.6009594417793284,0.5909913548460135,0.5909913548460135,0.6009594417793284,0.6009594417793284,0.6009594417793284,0.0
4,0.603139991277802,0.5936039476119885,0.5936039476119884,0.603139991277802,0.603139991277802,0.603139991277802,0.0
5,0.6035761011774967,0.5928466743464884,0.5928466743464884,0.6035761011774967,0.6035761011774967,0.6035761011774967,0.0
6,0.6005233318796337,0.5895510057965826,0.5895510057965827,0.6005233318796337,0.6005233318796337,0.6005233318796337,0.0
7,0.6044483209768862,0.5939175658330541,0.5939175658330542,0.6044483209768862,0.6044483209768862,0.6044483209768862,0.0
8,0.6170955080680331,0.6075710498255211,0.6075710498255212,0.6170955080680331,0.6170955080680331,0.6170955080680331,0.0
9,0.6105538595726123,0.6011552624372573,0.6011552624372571,0.6105538595726123,0.6105538595726123,0.6105538595726123,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_nonmet
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
