epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5541795665634675,0.563201860239583,0.563201860239583,0.5541795665634675,0.5541795665634675,0.5541795665634675,0.6403293215053182
1,0.5696594427244582,0.5596615642322654,0.5596615642322654,0.5696594427244582,0.5696594427244582,0.5696594427244582,0.6383735134568013
2,0.5687748783724016,0.554845659624646,0.554845659624646,0.5687748783724016,0.5687748783724016,0.5687748783724016,0.6334895651105424
3,0.5714285714285714,0.557515345874522,0.5575153458745219,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6295778138536803
4,0.5882352941176471,0.5758697832291908,0.5758697832291908,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.6266254782676697
5,0.6032728881026095,0.5888628073307546,0.5888628073307546,0.6032728881026095,0.6032728881026095,0.6032728881026095,0.6232959531562429
6,0.6099071207430341,0.601012772616568,0.601012772616568,0.6099071207430341,0.6099071207430341,0.6099071207430341,0.6178607235492115
7,0.6222910216718266,0.6120248840105356,0.6120248840105356,0.6222910216718266,0.6222910216718266,0.6222910216718266,0.6217094135116523
8,0.611233967271119,0.6010733846882886,0.6010733846882886,0.611233967271119,0.611233967271119,0.611233967271119,0.6320423152245266
9,0.6116762494471473,0.604376742597062,0.6043767425970619,0.6116762494471473,0.6116762494471473,0.6116762494471473,0.6388324389994984
10,0.6085802742149491,0.602054198212495,0.602054198212495,0.6085802742149491,0.6085802742149491,0.6085802742149491,0.6573986448872258
11,0.6059265811587793,0.6029661343824733,0.6029661343824733,0.6059265811587793,0.6059265811587793,0.6059265811587793,0.6925668741615725
12,0.6006191950464397,0.5927364697325355,0.5927364697325355,0.6006191950464397,0.6006191950464397,0.6006191950464397,0.7038223269120069

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_1_nonmet
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
