epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.2807804346084595,0.5,0.4693075120449066,0.2807804346084595,1.0,0.4384520947933197,0.0,0.0
1,0.4653509855270386,0.5134036540985107,0.5258248448371887,0.2897473871707916,0.6230031847953796,0.39553749561309814,0.0,1.0
2,0.4258802831172943,0.5555909872055054,0.6047959923744202,0.309883713722229,0.8514377474784851,0.45439043641090393,0.0,2.0
3,0.5155864357948303,0.5716986656188965,0.6058240532875061,0.32932332158088684,0.699680507183075,0.44785276055336,0.0,3.0
4,0.5373402237892151,0.5839004516601562,0.6301723718643188,0.34029141068458557,0.690095841884613,0.455816388130188,0.0,4.0
5,0.5102040767669678,0.5976580381393433,0.6482362747192383,0.340846985578537,0.7971246242523193,0.4775119721889496,0.0,5.0
6,0.5644763112068176,0.6125035285949707,0.6639953255653381,0.361889511346817,0.7220447063446045,0.4821333587169647,0.0,6.0
7,0.6196456551551819,0.6313809156417847,0.6765758991241455,0.3938814401626587,0.6581469774246216,0.4928229749202728,0.0,7.0
8,0.572101354598999,0.6253514289855957,0.6870468258857727,0.37015044689178467,0.7468051314353943,0.4949709177017212,0.0,8.0
9,0.6008073687553406,0.6345958709716797,0.6923587322235107,0.3857142925262451,0.7116613388061523,0.5002807378768921,0.0,9.0
10,0.6097779870033264,0.6391280889511108,0.6952642798423767,0.3918439447879791,0.7060702443122864,0.503990888595581,0.0,10.0
11,0.6122449040412903,0.6369478106498718,0.69877690076828,0.39222773909568787,0.6932907104492188,0.5010100603103638,0.0,11.0
12,0.5741197466850281,0.6311367750167847,0.6953633427619934,0.37328633666038513,0.7611821293830872,0.5009198784828186,0.0,12.0
13,0.6544068455696106,0.6404528021812439,0.6980927586555481,0.42029786109924316,0.6086261868476868,0.4972268044948578,0.0,13.0
14,0.6169544458389282,0.6426564455032349,0.6917584538459778,0.39692583680152893,0.7012779712677002,0.5069283843040466,0.0,14.0
15,0.6546310782432556,0.6391479969024658,0.6939489841461182,0.41999998688697815,0.6038338541984558,0.49541282653808594,0.0,15.0
16,0.6770575642585754,0.6257680654525757,0.6877930760383606,0.4357044994831085,0.5087859630584717,0.46941784024238586,0.0,16.0
17,0.5960977673530579,0.633999764919281,0.6837452054023743,0.383340448141098,0.720447301864624,0.500416100025177,0.0,17.0
18,0.5777080059051514,0.6282753348350525,0.6797590255737305,0.37344565987586975,0.7436102032661438,0.4971962869167328,0.0,18.0
19,0.6696569323539734,0.6125891804695129,0.6748765110969543,0.42267319560050964,0.48242810368537903,0.45057812333106995,0.0,19.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: need_emots_2
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
