epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.4865597470070025,0.5614591399085344,0.5614591399085344,0.4865597470070025,0.4865597470070025,0.4865597470070025,0.9946763734165713
1,0.5369324599051276,0.5760909181648801,0.5760909181648801,0.5369324599051276,0.5369324599051276,0.5369324599051276,0.9756981074381218
2,0.574429636322566,0.594412273856478,0.5944122738564781,0.574429636322566,0.574429636322566,0.574429636322566,0.9654615461397514
3,0.6347413598373617,0.6106105723860915,0.6106105723860915,0.6347413598373617,0.6347413598373617,0.6347413598373617,0.9441325968975643
4,0.6629771854529026,0.6346513024173059,0.6346513024173058,0.6629771854529026,0.6629771854529026,0.6629771854529026,0.9214118127342609
5,0.6245764626157669,0.6368730390140425,0.6368730390140425,0.6245764626157669,0.6245764626157669,0.6245764626157669,0.9202967037399896
6,0.6275129884797831,0.6308868647212073,0.6308868647212073,0.6275129884797831,0.6275129884797831,0.6275129884797831,0.9378715226118514
7,0.6254800090354642,0.625577583460369,0.6255775834603688,0.6254800090354642,0.6254800090354642,0.6254800090354642,0.9685105106813444
8,0.6496498757623673,0.6224513483920924,0.6224513483920923,0.6496498757623673,0.6496498757623673,0.6496498757623673,1.006198931512215
9,0.6740456290941947,0.6070710935546576,0.6070710935546576,0.6740456290941947,0.6740456290941947,0.6740456290941947,1.0816759340625872
10,0.6693020103907839,0.6156927523168874,0.6156927523168874,0.6693020103907839,0.6693020103907839,0.6693020103907839,1.075260369468936
11,0.6792410210074542,0.6065514826868633,0.6065514826868633,0.6792410210074542,0.6792410210074542,0.6792410210074542,1.1811271622884187
12,0.6711091032301785,0.6045397076971472,0.6045397076971472,0.6711091032301785,0.6711091032301785,0.6711091032301785,1.2109260606251175
13,0.6808222272419245,0.595484514764359,0.5954845147643589,0.6808222272419245,0.6808222272419245,0.6808222272419245,1.2511180034644311
14,0.6842105263157895,0.5956535174744517,0.5956535174744517,0.6842105263157895,0.6842105263157895,0.6842105263157895,1.328025549435787
15,0.688050598599503,0.591999983868496,0.5919999838684961,0.688050598599503,0.688050598599503,0.688050598599503,1.407423325579801
16,0.6835328665010165,0.5898277760301982,0.5898277760301982,0.6835328665010165,0.6835328665010165,0.6835328665010165,1.4405381911092525
17,0.69414953693246,0.5867556067058662,0.5867556067058662,0.69414953693246,0.69414953693246,0.69414953693246,1.5658138370771202
18,0.6826293200813192,0.588711929650511,0.588711929650511,0.6826293200813192,0.6826293200813192,0.6826293200813192,1.6025583385992392
19,0.6754009487237407,0.5919531016849355,0.5919531016849355,0.6754009487237407,0.6754009487237407,0.6754009487237407,1.5534472976871532
20,0.676982154958211,0.587213464159831,0.587213464159831,0.676982154958211,0.676982154958211,0.676982154958211,1.6226766908125911
21,0.6842105263157895,0.5871359573241061,0.5871359573241061,0.6842105263157895,0.6842105263157895,0.6842105263157895,1.677962467181597
22,0.68737293878473,0.5852008069784886,0.5852008069784886,0.68737293878473,0.68737293878473,0.68737293878473,1.774127090577599

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_2
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
