Datetime,Run Name,Finished,Table,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,BoW LR C,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,Max Tokens,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy,AUC,F1,Recall,Precision,Specificity,PPV,NPV,TP,TN,FP,FN,LaTeX String,Table Extra
20211206-0030,,,,SCAR_NLP,BERT,need_emots_2,ppv3,,bert-base-uncased,,,,,,,,,,0.0,50.0,0.0001,5.0,loss_weight,0.6169544458389282,0.6426564455032349,,,,,,,,,,,,,
20211208-1306,,,,SCAR_NLP,BoW,need_emots_2,ppv4,,,,,rf,,,,,,,False,10.0,,5.0,loss_weight,0.7214622112581296,0.5115406244925488,0.5115406244925488,0.7214622112581295,,,,,,,,,,,
20211208-1330,,,,SCAR_NLP,BoW,need_emots_2,ppv4,,,,,rf,,,,,,,False,10.0,,5.0,loss_weight,0.7228078044404574,0.5122326261144003,0.5122326261144003,0.7228078044404573,,,,,,,,,,,
20211208-2011,,,,SCAR_NLP,CNN,need_emots_2,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6809705684115929,0.674336019993752,0.6743360199937519,0.6809705684115929,,,,,,,,,,,
20211210-0525,,,,SCAR_NLP,LSTM,need_emots_2,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,2.0,128.0,False,,False,100.0,0.0001,5.0,loss_weight,0.6245764626157669,0.6368730390140425,0.6368730390140425,0.6245764626157669,,,,,,,,,,,
,BoW_20220209-0907,20220209-0916,need_emots_dif_n,SCAR_NLP,BoW,need_emots_2,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6362413167953491,0.6455961465835571,0.6455961465835571,0.5072904229164124,0.6669328808784485,0.4093137383460998,0.6242594122886658,0.409313725490196,0.8276147168251343,835.0,2002.0,1205.0,417.0,BoW & 0.64 & 0.65 & 0.65 & 0.51 & 0.67 & 0.62 \\,
,CNN_20220209-1116,20220209-1218,need_emots_dif_n,SCAR_NLP,CNN,need_emots_2,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.697017252445221,0.6715362071990967,0.7315788269042969,0.5320402383804321,0.6134185194969177,0.4697247743606567,0.7296538949012756,0.4697247706422018,0.8286118980169972,768.0,2340.0,867.0,484.0,CNN & 0.7 & 0.67 & 0.73 & 0.53 & 0.61 & 0.73 \\,
,BoW_20220209-1712,20220209-1719,need_emots_dif_n,SCAR_NLP,BoW,need_emots_2,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6362413167953491,0.6455961465835571,0.6455961465835571,0.5072904229164124,0.6669328808784485,0.4093137383460998,0.6242594122886658,0.409313725490196,0.8276147168251343,835.0,2002.0,1205.0,417.0,BoW & 2 & 0.64 & 0.65 & 0.65 & 0.51 & 0.67 & 0.62 \\,2.0
,CNN_20220209-1900,20220209-1959,need_emots_dif_n,SCAR_NLP,CNN,need_emots_2,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6761605739593506,0.6733479499816895,0.7274198532104492,0.536287784576416,0.6669328808784485,0.4484425485134125,0.6797630190849304,0.4484425349087003,0.8394301116673084,835.0,2180.0,1027.0,417.0,CNN & 2 & 0.68 & 0.67 & 0.73 & 0.54 & 0.67 & 0.68 \\,2.0
,BoW_20220215-2207,20220215-2214,need_emots_dif_n,SCAR_NLP,BoW,need_emots_2,ppv4,,,,,l2logreg,0.2,,,,,5000.0,False,1.0,,5.0,loss_weight,0.6362413167953491,0.6455961465835571,0.6455961465835571,0.5072904229164124,0.6669328808784485,0.4093137383460998,0.6242594122886658,0.409313725490196,0.8276147168251343,835.0,2002.0,1205.0,417.0,BoW & 2 & 0.64 & 0.65 & 0.65 & 0.51 & 0.41 & 0.67 \\,2.0
,CNN_20220215-2335,20220216-0040,need_emots_dif_n,SCAR_NLP,CNN,need_emots_2,ppv4,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,500.0,,,,,False,100.0,1e-05,5.0,loss_weight,0.6658443808555603,0.6732362508773804,0.7284973859786987,0.5369794368743896,0.690095841884613,0.4394710063934326,0.6563766598701477,0.43947100712105797,0.8443642198154834,864.0,2105.0,1102.0,388.0,CNN & 2 & 0.67 & 0.67 & 0.73 & 0.54 & 0.44 & 0.69 \\,2
