epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.4622112512588501,0.5580592751502991,0.6165440082550049,0.06340872496366501,0.6652542352676392,0.450864315032959,0.11578170955181122,1.325232982635498,0.06340872374798061,0.9601613716591024,157.0,2319.0,1904.0,79.0
1,0.48643192648887634,0.5628454089164734,0.6194638013839722,0.06483051180839539,0.6483050584793091,0.4773857593536377,0.1178736463189125,1.3145501613616943,0.06483050847457628,0.9604573606479276,153.0,2207.0,2016.0,83.0
2,0.5113254189491272,0.5779879689216614,0.6220525503158569,0.06841403990983963,0.6525423526763916,0.5034335851669312,0.12384399771690369,1.3069608211517334,0.06841403820524211,0.9628623188405797,154.0,2097.0,2126.0,82.0
3,0.5259026885032654,0.5796831846237183,0.6260524988174438,0.06926605850458145,0.6398305296897888,0.5195358991622925,0.125,1.3007562160491943,0.06926605504587156,0.9627029398859148,151.0,2029.0,2194.0,85.0
4,0.5416012406349182,0.5839706659317017,0.6323974132537842,0.07075023651123047,0.6313559412956238,0.5365853905677795,0.12724167108535767,1.2942423820495605,0.07075023741690409,0.9630259243518912,149.0,1957.0,2266.0,87.0
5,0.5516932010650635,0.5952993631362915,0.6392525434494019,0.07353652268648148,0.6440678238868713,0.5465309023857117,0.13200172781944275,1.2876580953598022,0.07353652636671505,0.9648829431438127,152.0,1915.0,2308.0,84.0
6,0.5922852754592896,0.6087286472320557,0.6479980945587158,0.07880724221467972,0.6271186470985413,0.5903386473655701,0.14001892507076263,1.281269907951355,0.07880724174653887,0.9659046881053855,148.0,1730.0,2493.0,88.0
7,0.6088809370994568,0.6114894151687622,0.6578412055969238,0.08064515888690948,0.6144067645072937,0.6085721254348755,0.142576202750206,1.27394437789917,0.08064516129032258,0.9658023299511462,145.0,1653.0,2570.0,91.0
8,0.6124691367149353,0.6173843145370483,0.6678529977798462,0.08230683207511902,0.6228813529014587,0.6118872761726379,0.14540059864521027,1.2662951946258545,0.08230683090705487,0.966704077815189,147.0,1639.0,2584.0,89.0
9,0.6510428190231323,0.6197468042373657,0.6748476028442383,0.08646616339683533,0.5847457647323608,0.6547477841377258,0.15065501630306244,1.2605857849121094,0.08646616541353383,0.9657701711491442,138.0,1458.0,2765.0,98.0
10,0.653958261013031,0.6272867321968079,0.6825159788131714,0.08873505145311356,0.5974576473236084,0.6571158170700073,0.15452054142951965,1.2531733512878418,0.08873505349276274,0.9668989547038328,141.0,1448.0,2775.0,95.0
11,0.677506148815155,0.627717137336731,0.6894387602806091,0.09171195328235626,0.5720338821411133,0.6834004521369934,0.1580796241760254,1.2468719482421875,0.09171195652173914,0.9661868095078674,135.0,1337.0,2886.0,101.0
12,0.6963444948196411,0.6236609816551208,0.6957886815071106,0.09315866231918335,0.5423728823661804,0.7049490809440613,0.15900620818138123,1.2406522035598755,0.09315866084425037,0.9649918962722852,128.0,1246.0,2977.0,108.0
13,0.7127158641815186,0.6263033747673035,0.7019960880279541,0.09652509540319443,0.5296609997749329,0.7229457497596741,0.16329197585582733,1.2351863384246826,0.09652509652509653,0.9649178255372945,125.0,1170.0,3053.0,111.0
14,0.7086790800094604,0.6281726956367493,0.7076572179794312,0.09643128514289856,0.5381355881690979,0.7182098031044006,0.16355441510677338,1.2276495695114136,0.09643128321943811,0.9653087205601528,127.0,1190.0,3033.0,109.0
15,0.7174254059791565,0.6307899951934814,0.7119758129119873,0.09874608367681503,0.5338982939720154,0.7276817560195923,0.1666666716337204,1.222511649131775,0.0987460815047022,0.9654414074772227,126.0,1150.0,3073.0,110.0
16,0.7320026755332947,0.6384859681129456,0.7161980271339417,0.10404624044895172,0.5338982939720154,0.7430736422538757,0.1741534173488617,1.2184579372406006,0.10404624277456648,0.9661330049261084,126.0,1085.0,3138.0,110.0
17,0.7313299179077148,0.6421312689781189,0.7196998000144958,0.10509031265974045,0.5423728823661804,0.7418896555900574,0.17606602609157562,1.212880253791809,0.10509031198686371,0.966676951558161,128.0,1090.0,3133.0,108.0
18,0.7459071278572083,0.6478269696235657,0.7225233316421509,0.11033883690834045,0.5381355881690979,0.7575183510780334,0.18312904238700867,1.2111073732376099,0.1103388357949609,0.967049576783555,127.0,1024.0,3199.0,109.0
19,0.7459071278572083,0.6438264846801758,0.7252374887466431,0.10897994786500931,0.5296609997749329,0.7579919695854187,0.18076644837856293,1.2068393230438232,0.10897994768962511,0.9664855072463768,125.0,1022.0,3201.0,111.0
20,0.750616729259491,0.6443126201629639,0.7272903919219971,0.11032028496265411,0.5254237055778503,0.7632015347480774,0.1823529452085495,1.2046598196029663,0.1103202846975089,0.9664167916041979,124.0,1000.0,3223.0,112.0
21,0.7665395736694336,0.6487184762954712,0.7287362813949585,0.11630123853683472,0.5169491767883301,0.7804877758026123,0.1898832768201828,1.206581473350525,0.11630123927550047,0.9665689149560117,122.0,927.0,3296.0,114.0
22,0.7633998394012451,0.6470608711242676,0.7305323481559753,0.11476951837539673,0.5169491767883301,0.7771726250648499,0.18783679604530334,1.202345609664917,0.1147695202257761,0.9664310954063604,122.0,941.0,3282.0,114.0
23,0.7773043513298035,0.6464006900787354,0.7314022779464722,0.1188318207859993,0.5,0.7928013205528259,0.1920260339975357,1.206436038017273,0.11883182275931521,0.9659549913444894,118.0,875.0,3348.0,118.0
24,0.7775285840034485,0.6445188522338867,0.732959508895874,0.11818181723356247,0.4957627058029175,0.7932749390602112,0.19086459279060364,1.2038285732269287,0.11818181818181818,0.9656961660420871,117.0,873.0,3350.0,119.0
25,0.7921058535575867,0.6442137956619263,0.7341254949569702,0.12322791665792465,0.4788135588169098,0.8096140027046204,0.19601039588451385,1.2092772722244263,0.12322791712104689,0.9652738565782044,113.0,804.0,3419.0,123.0
26,0.7990580797195435,0.6438836455345154,0.7348819971084595,0.12585033476352692,0.47033897042274475,0.8174283504486084,0.19856886565685272,1.2122139930725098,0.12585034013605442,0.9650545149566676,111.0,771.0,3452.0,125.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4
table: need_emots_dif_n
table_extra: 4
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220209-2051
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4\CNN
