epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5424982905387878,0.5724427700042725,0.6201220750808716,0.06842105090618134,0.6059321761131287,0.5389533638954163,0.12295786291360855,1.3310368061065674,0.06842105263157895,0.9607429295061207,143.0,1947.0,2276.0,93.0
1,0.5377887487411499,0.5659558773040771,0.6249638795852661,0.06691978871822357,0.5974576473236084,0.5344541668891907,0.12035850435495377,1.3229469060897827,0.06691979117228286,0.9596088435374149,141.0,1966.0,2257.0,95.0
2,0.5456380248069763,0.5721001625061035,0.627090573310852,0.06846673041582108,0.6016949415206909,0.5425053238868713,0.12294372171163559,1.3159019947052002,0.06846673095467695,0.9605870020964361,142.0,1932.0,2291.0,94.0
3,0.5476564168930054,0.5771661996841431,0.6269967555999756,0.06959883868694305,0.6101694703102112,0.544162929058075,0.12494576722383499,1.3099782466888428,0.06959884001933302,0.9615062761506277,144.0,1925.0,2298.0,92.0
4,0.5624579787254333,0.5769795775413513,0.6300344467163086,0.07017543911933899,0.5932203531265259,0.5607388019561768,0.1255042552947998,1.3046778440475464,0.07017543859649122,0.961038961038961,140.0,1855.0,2368.0,96.0
5,0.5846602320671082,0.5847005844116211,0.6335372924804688,0.07293868809938431,0.5847457647323608,0.5846554636955261,0.129699245095253,1.300105094909668,0.07293868921775898,0.9618231398519673,138.0,1754.0,2469.0,98.0
6,0.5974434018135071,0.5914493799209595,0.6382632255554199,0.07520435750484467,0.5847457647323608,0.5981529951095581,0.13326893746852875,1.2952860593795776,0.07520435967302452,0.9626524390243902,138.0,1697.0,2526.0,98.0
7,0.6088809370994568,0.5954874753952026,0.6433603763580322,0.07687991112470627,0.5805084705352783,0.610466480255127,0.13577799499034882,1.2906477451324463,0.07687991021324354,0.9630183040717221,137.0,1645.0,2578.0,99.0
8,0.6382597088813782,0.6009966135025024,0.6487164497375488,0.0804387554526329,0.5593220591545105,0.6426711082458496,0.1406499743461609,1.286647915840149,0.08043875685557587,0.9630943931866572,132.0,1509.0,2714.0,104.0
9,0.6597892045974731,0.6103626489639282,0.6552274227142334,0.08489954471588135,0.555084764957428,0.6656405329704285,0.14727374911308289,1.2823923826217651,0.084899546338302,0.9639917695473251,131.0,1412.0,2811.0,105.0
10,0.6618075966835022,0.6194292306900024,0.6608047485351562,0.0875486359000206,0.5720338821411133,0.6668245196342468,0.15185602009296417,1.2773449420928955,0.08754863813229571,0.9653753856702091,135.0,1407.0,2816.0,101.0
11,0.6692083477973938,0.627336859703064,0.6654649376869202,0.09054858237504959,0.5805084705352783,0.6741653084754944,0.15666095912456512,1.2729089260101318,0.09054857898215465,0.9663951120162932,137.0,1376.0,2847.0,99.0
12,0.6853554844856262,0.6298608779907227,0.6698788404464722,0.09337978810071945,0.5677965879440308,0.6919251680374146,0.16038300096988678,1.2693434953689575,0.09337979094076655,0.9662698412698413,134.0,1301.0,2922.0,102.0
13,0.7145099639892578,0.6232501268386841,0.6750261783599854,0.09586905688047409,0.5211864113807678,0.7253137826919556,0.16194865107536316,1.2667925357818604,0.09586905689789556,0.9644206549118388,123.0,1160.0,3063.0,113.0
14,0.7039694786071777,0.6256862878799438,0.6792715191841125,0.09491778910160065,0.5381355881690979,0.7132370471954346,0.16137230396270752,1.2612735033035278,0.09491778774289986,0.9650752963793656,127.0,1211.0,3012.0,109.0
15,0.7091276049613953,0.6244089603424072,0.6846587061882019,0.09534706175327301,0.5296609997749329,0.7191569805145264,0.16160309314727783,1.2562881708145142,0.09534706331045004,0.9647395171537484,125.0,1186.0,3037.0,111.0
16,0.7337968349456787,0.6214309930801392,0.6889556646347046,0.09873417764902115,0.4957627058029175,0.7470992207527161,0.16467276215553284,1.2543737888336182,0.09873417721518987,0.9636530238240684,117.0,1068.0,3155.0,119.0
17,0.7425431609153748,0.6220480799674988,0.6932692527770996,0.10070052742958069,0.48728814721107483,0.7568079829216003,0.16690856218338013,1.2508505582809448,0.10070052539404553,0.963521254145312,115.0,1027.0,3196.0,121.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4
table: need_emots_all_models
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220213-2338
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4\CNN
