epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.23413321375846863,0.555661678314209,0.6210060119628906,0.059817224740982056,0.9152542352676392,0.1960691511631012,0.11229529976844788,1.3292934894561768,0.05981722514538909,0.9764150943396226,216.0,3395.0,828.0,20.0
1,0.4166853427886963,0.5820301175117493,0.623780369758606,0.0663733035326004,0.7669491767883301,0.39711105823516846,0.1221734806895256,1.321921944618225,0.06637330399706637,0.9682448036951501,181.0,2546.0,1677.0,55.0
2,0.4693877696990967,0.5618480443954468,0.625041127204895,0.06423895061016083,0.6652542352676392,0.4584418535232544,0.11716417223215103,1.3150513172149658,0.06423895253682488,0.9607940446650124,157.0,2287.0,1936.0,79.0
3,0.4954025447368622,0.5595804452896118,0.6261653900146484,0.06444636732339859,0.6313559412956238,0.4878048896789551,0.11695446819067001,1.3093023300170898,0.06444636678200692,0.95947834187238,149.0,2163.0,2060.0,87.0
4,0.5173805952072144,0.5691832900047302,0.626997709274292,0.06690777838230133,0.6271186470985413,0.5112479329109192,0.12091503292322159,1.3043497800827026,0.06690777576853527,0.960836671117045,148.0,2064.0,2159.0,88.0
5,0.525005578994751,0.5712085962295532,0.6288705468177795,0.06755514442920685,0.6228813529014587,0.5195358991622925,0.12189055234193802,1.2998429536819458,0.06755514705882353,0.9610162067455102,147.0,2029.0,2194.0,89.0
6,0.5261269211769104,0.5798015594482422,0.6321114897727966,0.06929784268140793,0.6398305296897888,0.5197726488113403,0.12505175173282623,1.2954269647598267,0.0692978430472694,0.9627192982456141,151.0,2028.0,2195.0,85.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4
table: need_emots_dif_n
table_extra: 4
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220216-0122
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4\CNN
