epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5588697195053101,0.5510822534561157,0.5653307437896729,0.0644187182188034,0.5423728823661804,0.559791624546051,0.11515968292951584,1.3392376899719238,0.06441872169099144,0.9563106796116505,128.0,1859.0,2364.0,108.0
1,0.33325856924057007,0.5279843807220459,0.5635031461715698,0.05697636678814888,0.7457627058029175,0.31020602583885193,0.10586465895175934,1.3391364812850952,0.05697636775655552,0.9562043795620438,176.0,2913.0,1310.0,60.0
2,0.2446736991405487,0.519221305847168,0.5602220296859741,0.05536627024412155,0.8262711763381958,0.21217143535614014,0.10377860069274902,1.339032769203186,0.05536626916524702,0.9562433297758804,195.0,3327.0,896.0,41.0
3,0.2821260392665863,0.5169912576675415,0.555167555809021,0.05520552024245262,0.7796609997749329,0.2543215751647949,0.10311011224985123,1.338958501815796,0.05520552055205521,0.9538188277087034,184.0,3149.0,1074.0,52.0
4,0.25768110156059265,0.5100865364074707,0.5504074096679688,0.0542343370616436,0.7923728823661804,0.2278001457452774,0.10152008384466171,1.3387774229049683,0.05423433874709977,0.9515331355093967,187.0,3261.0,962.0,49.0
5,0.25409284234046936,0.5121926069259644,0.5489516258239746,0.05449827015399933,0.8008474707603455,0.22353777289390564,0.10205183923244476,1.338681936264038,0.054498269896193774,0.9525731584258325,189.0,3279.0,944.0,47.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4
table: need_emots_all_models
table_extra: 
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
batch_size: 64
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: LSTM_20220214-0003
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4\LSTM
