epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.40793898701667786,0.555409848690033,0.595282793045044,0.061953354626894,0.7203390002250671,0.3904806971549988,0.11409395933151245,1.338913083076477,0.0619533527696793,0.9615160349854227,170.0,2574.0,1649.0,66.0
1,0.36017045378685,0.5721959471702576,0.6135649085044861,0.06368789821863174,0.8093220591545105,0.335069864988327,0.11808346211910248,1.337122917175293,0.06368789596532178,0.9691780821917808,191.0,2808.0,1415.0,45.0
2,0.4366450011730194,0.5785658955574036,0.6226069331169128,0.06631097197532654,0.7372881174087524,0.4198437035083771,0.12167831510305405,1.3349628448486328,0.0663109756097561,0.9662125340599454,174.0,2450.0,1773.0,62.0
3,0.46804216504096985,0.5771396160125732,0.6240779161453247,0.06690997630357742,0.6991525292396545,0.45512667298316956,0.12213175743818283,1.3322054147720337,0.06690997566909976,0.9643753135975915,165.0,2301.0,1922.0,71.0
4,0.46849068999290466,0.5793766379356384,0.6254128217697144,0.0673154890537262,0.7033898234367371,0.4553634822368622,0.12287193536758423,1.3289597034454346,0.06731549067315491,0.9648770697441044,166.0,2300.0,1923.0,70.0
5,0.49136579036712646,0.5774517059326172,0.6273118257522583,0.06765957176685333,0.6737288236618042,0.4811745285987854,0.1229698434472084,1.3255705833435059,0.06765957446808511,0.9634898055950688,159.0,2191.0,2032.0,77.0
6,0.49091723561286926,0.5792151093482971,0.628794252872467,0.067969411611557,0.6779661178588867,0.4804641306400299,0.1235521137714386,1.3216241598129272,0.06796941376380629,0.963895486935867,160.0,2194.0,2029.0,76.0
7,0.5019062757492065,0.5730152130126953,0.631269097328186,0.06716092675924301,0.6525423526763916,0.49348804354667664,0.12178727984428406,1.317552924156189,0.06716092455298735,0.9621421975992613,154.0,2139.0,2084.0,82.0
8,0.4929356276988983,0.5762802362442017,0.6338122487068176,0.0674925222992897,0.6694915294647217,0.48306891322135925,0.12262319028377533,1.3129785060882568,0.06749252456215292,0.9631728045325779,158.0,2183.0,2040.0,78.0
9,0.5041489005088806,0.5781996846199036,0.6359795331954956,0.068211629986763,0.6610169410705566,0.4953824281692505,0.1236623078584671,1.3085196018218994,0.06821163095758635,0.9631675874769797,156.0,2131.0,2092.0,80.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4
table: need_emots_all_models
table_extra: 
dataset: SCAR
debug: False
bidirectional: True
num_layers: 1
hidden_dim: 512
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
batch_size: 16
embed_droprate: 0.1
wdrop: 0.2
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: LSTM_20220220-2208
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4\LSTM
