epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.4523809552192688,0.6351915001869202,0.7036048173904419,0.07061503082513809,0.837837815284729,0.4325452148914337,0.13025209307670593,1.518032431602478,0.07061503416856492,0.9810725552050473,31.0,408.0,311.0,6.0
1,0.5330687761306763,0.6776115298271179,0.7173627018928528,0.08201058208942413,0.837837815284729,0.5173852443695068,0.1493975818157196,1.5081084966659546,0.082010582010582,0.9841269841269841,31.0,347.0,372.0,6.0
2,0.5370370149612427,0.6796977519989014,0.7251437902450562,0.08266666531562805,0.837837815284729,0.5215577483177185,0.15048544108867645,1.495868444442749,0.08266666666666667,0.984251968503937,31.0,344.0,375.0,6.0
3,0.5449735522270203,0.6838701963424683,0.7272488474845886,0.08401083946228027,0.837837815284729,0.5299026370048523,0.15270936489105225,1.4868113994598389,0.08401084010840108,0.9844961240310077,31.0,338.0,381.0,6.0
4,0.5423280596733093,0.6824793815612793,0.7306318879127502,0.08355794847011566,0.837837815284729,0.5271210074424744,0.15196077525615692,1.4739001989364624,0.08355795148247978,0.9844155844155844,31.0,340.0,379.0,6.0
5,0.5436508059501648,0.6831748485565186,0.7307822704315186,0.08378378301858902,0.837837815284729,0.5285118222236633,0.15233415365219116,1.4635404348373413,0.08378378378378379,0.9844559585492227,31.0,339.0,380.0,6.0
6,0.5449735522270203,0.6838701963424683,0.7316092252731323,0.08401083946228027,0.837837815284729,0.5299026370048523,0.15270936489105225,1.4523930549621582,0.08401084010840108,0.9844961240310077,31.0,338.0,381.0,6.0
7,0.5489417910575867,0.6859564781188965,0.7303687334060669,0.08469945192337036,0.837837815284729,0.5340750813484192,0.1538461446762085,1.443860411643982,0.08469945355191257,0.9846153846153847,31.0,335.0,384.0,6.0
8,0.5542327761650085,0.6887381076812744,0.7309702038764954,0.08563535660505295,0.837837815284729,0.5396384000778198,0.1553884595632553,1.436488151550293,0.0856353591160221,0.9847715736040609,31.0,331.0,388.0,6.0
9,0.5542327761650085,0.6887381076812744,0.7309325933456421,0.08563535660505295,0.837837815284729,0.5396384000778198,0.1553884595632553,1.4293653964996338,0.0856353591160221,0.9847715736040609,31.0,331.0,388.0,6.0
10,0.5555555820465088,0.6894335150718689,0.7309702038764954,0.0858725756406784,0.837837815284729,0.5410292148590088,0.1557788848876953,1.42307448387146,0.08587257617728532,0.9848101265822785,31.0,330.0,389.0,6.0
11,0.5529100298881531,0.6880427002906799,0.7302935123443604,0.08539944887161255,0.837837815284729,0.5382475852966309,0.1550000011920929,1.4163281917572021,0.08539944903581267,0.9847328244274809,31.0,332.0,387.0,6.0
12,0.5542327761650085,0.6887381076812744,0.7293538451194763,0.08563535660505295,0.837837815284729,0.5396384000778198,0.1553884595632553,1.4119577407836914,0.0856353591160221,0.9847715736040609,31.0,331.0,388.0,6.0
13,0.5648148059844971,0.6943013668060303,0.7285268306732178,0.08757062256336212,0.837837815284729,0.5507649779319763,0.15856778621673584,1.4093530178070068,0.08757062146892655,0.9850746268656716,31.0,323.0,396.0,6.0
14,0.567460298538208,0.6956921815872192,0.7290155291557312,0.08806817978620529,0.837837815284729,0.5535466074943542,0.15938302874565125,1.4060138463974,0.08806818181818182,0.9851485148514851,31.0,321.0,398.0,6.0
15,0.5648148059844971,0.6943013668060303,0.7288651466369629,0.08757062256336212,0.837837815284729,0.5507649779319763,0.15856778621673584,1.4013465642929077,0.08757062146892655,0.9850746268656716,31.0,323.0,396.0,6.0
16,0.567460298538208,0.6956921815872192,0.7290155291557312,0.08806817978620529,0.837837815284729,0.5535466074943542,0.15938302874565125,1.3997375965118408,0.08806818181818182,0.9851485148514851,31.0,321.0,398.0,6.0
17,0.567460298538208,0.6956921815872192,0.7299928665161133,0.08806817978620529,0.837837815284729,0.5535466074943542,0.15938302874565125,1.3967244625091553,0.08806818181818182,0.9851485148514851,31.0,321.0,398.0,6.0
18,0.5740740895271301,0.6991692781448364,0.7305191159248352,0.08933717757463455,0.837837815284729,0.5605006814002991,0.1614583432674408,1.3963642120361328,0.0893371757925072,0.9853300733496333,31.0,316.0,403.0,6.0
19,0.579365074634552,0.689132809638977,0.7304063439369202,0.08797653764486313,0.8108108043670654,0.5674548149108887,0.1587301641702652,1.3952959775924683,0.08797653958944282,0.983132530120482,30.0,311.0,408.0,7.0
20,0.5767195820808411,0.7005600929260254,0.7312709093093872,0.08985507488250732,0.837837815284729,0.563282310962677,0.16230367124080658,1.3923192024230957,0.08985507246376812,0.9854014598540146,31.0,314.0,405.0,6.0
21,0.5767195820808411,0.7005600929260254,0.7311957478523254,0.08985507488250732,0.837837815284729,0.563282310962677,0.16230367124080658,1.3891515731811523,0.08985507246376812,0.9854014598540146,31.0,314.0,405.0,6.0
22,0.5859788656234741,0.6926098465919495,0.7318723201751709,0.0892857164144516,0.8108108043670654,0.5744088888168335,0.1608579158782959,1.3907274007797241,0.08928571428571429,0.9833333333333333,30.0,306.0,413.0,7.0
23,0.5952380895614624,0.6846596002578735,0.7321354150772095,0.08868501335382462,0.7837837934494019,0.58553546667099,0.15934066474437714,1.3924245834350586,0.08868501529051988,0.9813519813519813,29.0,298.0,421.0,8.0
24,0.5965608358383179,0.6853550672531128,0.7330000400543213,0.0889570564031601,0.7837837934494019,0.586926281452179,0.1597796082496643,1.3904612064361572,0.08895705521472393,0.9813953488372092,29.0,297.0,422.0,8.0
25,0.6005290746688843,0.6874412298202515,0.7332631945610046,0.08978328108787537,0.7837837934494019,0.5910987257957458,0.16111110150814056,1.3914293050765991,0.08978328173374613,0.9815242494226328,29.0,294.0,425.0,8.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4_II
table: compare_stages_emots
table_extra: II & 5535
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 9532
run_name: CNN_20220218-1201
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4_II
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4_II\CNN
