epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8754578828811646,0.5482766032218933,0.5546992421150208,0.09803921729326248,0.18518517911434174,0.9113680124282837,0.12820513546466827,1.340747594833374,0.09803921568627451,0.9555555555555556,5.0,46.0,473.0,22.0
1,0.7802197933197021,0.5332905054092407,0.5587669014930725,0.06542056053876877,0.25925925374031067,0.8073217868804932,0.10447760671377182,1.3400390148162842,0.06542056074766354,0.9544419134396356,7.0,100.0,419.0,20.0
2,0.791208803653717,0.5215157270431519,0.5561978816986084,0.06060606241226196,0.2222222238779068,0.8208092451095581,0.0952381044626236,1.3396228551864624,0.06060606060606061,0.9530201342281879,6.0,93.0,426.0,21.0
3,0.6849817037582397,0.48319417238235474,0.5502747297286987,0.044025156646966934,0.25925925374031067,0.7071291208267212,0.07526881247758865,1.3391960859298706,0.0440251572327044,0.9483204134366925,7.0,152.0,367.0,20.0
4,0.7948718070983887,0.5234425067901611,0.5445657968521118,0.06185567006468773,0.2222222238779068,0.8246628046035767,0.09677419811487198,1.3396327495574951,0.061855670103092786,0.9532293986636972,6.0,91.0,428.0,21.0
5,0.7106227278709412,0.4966816306114197,0.5447084903717041,0.04827586188912392,0.25925925374031067,0.7341040372848511,0.08139535039663315,1.3390783071517944,0.04827586206896552,0.9501246882793017,7.0,138.0,381.0,20.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4_III
table: compare_stages_emots
table_extra: III & 3809
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 8527
run_name: CNN_20220218-1209
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4_III
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4_III\CNN
