epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9003623127937317,0.5272740721702576,0.4378473162651062,0.08571428805589676,0.11538461595773697,0.9391635060310364,0.09836065769195557,1.1020586490631104,0.08571428571428572,0.9555125725338491,3.0,32.0,494.0,23.0
1,0.5452898740768433,0.4689236879348755,0.47426149249076843,0.040816325694322586,0.38461539149284363,0.553231954574585,0.07380073517560959,1.1050118207931519,0.04081632653061224,0.9478827361563518,10.0,235.0,291.0,16.0
2,0.5144927501678467,0.5076045989990234,0.5051915645599365,0.048507463186979294,0.5,0.5152091383934021,0.08843537420034409,1.1047134399414062,0.048507462686567165,0.954225352112676,13.0,255.0,271.0,13.0
3,0.6268116235733032,0.47513896226882935,0.5168908834457397,0.040816325694322586,0.3076923191547394,0.6425855755805969,0.07207206636667252,1.1025375127792358,0.04081632653061224,0.949438202247191,8.0,188.0,338.0,18.0
4,0.6050724387168884,0.5002924799919128,0.5326118469238281,0.04716981202363968,0.38461539149284363,0.6159695982933044,0.08403361588716507,1.1018927097320557,0.04716981132075472,0.9529411764705882,10.0,202.0,324.0,16.0
5,0.5887681245803833,0.5282977223396301,0.5396314859390259,0.0533333346247673,0.4615384638309479,0.5950570106506348,0.09561753273010254,1.101288080215454,0.05333333333333334,0.9571865443425076,12.0,213.0,313.0,14.0
6,0.7028985619544983,0.5333430767059326,0.5432509183883667,0.057692307978868484,0.3461538553237915,0.7205322980880737,0.09890110045671463,1.0979409217834473,0.057692307692307696,0.9570707070707071,9.0,147.0,379.0,17.0
7,0.6938405632972717,0.5468704104423523,0.5476747751235962,0.061349693685770035,0.38461539149284363,0.7091254591941833,0.10582011193037033,1.0968674421310425,0.06134969325153374,0.9588688946015425,10.0,153.0,373.0,16.0
8,0.7137681245803833,0.5573267340660095,0.5476016402244568,0.06578947603702545,0.38461539149284363,0.730038046836853,0.11235955357551575,1.0954838991165161,0.06578947368421052,0.96,10.0,142.0,384.0,16.0
9,0.7336956262588501,0.567782998085022,0.5455542802810669,0.07092198729515076,0.38461539149284363,0.7509505748748779,0.11976048350334167,1.094147801399231,0.07092198581560284,0.9610705596107056,10.0,131.0,395.0,16.0
10,0.7409420013427734,0.5715852379798889,0.5482597351074219,0.07299269735813141,0.38461539149284363,0.7585551142692566,0.12269937992095947,1.093064308166504,0.072992700729927,0.9614457831325302,10.0,127.0,399.0,16.0
11,0.7010869383811951,0.550672709941864,0.5472360849380493,0.0628930851817131,0.38461539149284363,0.7167300581932068,0.10810811072587967,1.093334436416626,0.06289308176100629,0.9592875318066157,10.0,149.0,377.0,16.0
12,0.7155796885490417,0.5582772493362427,0.5503802299499512,0.06622516363859177,0.38461539149284363,0.7319391369819641,0.11299435049295425,1.0920912027359009,0.06622516556291391,0.9600997506234414,10.0,141.0,385.0,16.0
13,0.760869562625885,0.5454811453819275,0.5516964197158813,0.06557376682758331,0.3076923191547394,0.7832699418067932,0.10810810327529907,1.0895546674728394,0.06557377049180328,0.958139534883721,8.0,114.0,412.0,18.0
14,0.7373188138008118,0.5696841478347778,0.5527932047843933,0.07194244861602783,0.38461539149284363,0.7547528743743896,0.12121212482452393,1.0893090963363647,0.07194244604316546,0.9612590799031477,10.0,129.0,397.0,16.0
15,0.7463768124580383,0.5561567544937134,0.5533050298690796,0.06818182021379471,0.3461538553237915,0.76615971326828,0.1139240562915802,1.0881621837615967,0.06818181818181818,0.9595238095238096,9.0,123.0,403.0,17.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4_IV
table: compare_stages_emots
table_extra: IV & 3638
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 8675
run_name: CNN_20220218-1213
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4_IV
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4_IV\CNN
