epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9519331455230713,0.49917808175086975,0.6198307275772095,0.0,0.0,0.9983561635017395,0.0,1.397694706916809,0.0,0.9534275248560963,0.0,3.0,1822.0,89.0
1,0.9017763733863831,0.5423488020896912,0.6248730421066284,0.10400000214576721,0.14606741070747375,0.9386301636695862,0.1214953288435936,1.3914968967437744,0.104,0.9575181665735047,13.0,112.0,1713.0,76.0
2,0.8087774515151978,0.5790857672691345,0.6292566061019897,0.08656716346740723,0.3258427083492279,0.8323287963867188,0.13679245114326477,1.3866448402404785,0.08656716417910448,0.9620012666244458,29.0,306.0,1519.0,60.0
3,0.6891326904296875,0.5804740786552429,0.6327720880508423,0.06972789019346237,0.4606741666793823,0.7002739906311035,0.12112259119749069,1.3815109729766846,0.06972789115646258,0.9638009049773756,41.0,547.0,1278.0,48.0
4,0.6295715570449829,0.5706171989440918,0.6331230401992798,0.06338027864694595,0.5056179761886597,0.6356164216995239,0.11264079809188843,1.3782169818878174,0.06338028169014084,0.9634551495016611,45.0,665.0,1160.0,44.0
5,0.583594560623169,0.5732276439666748,0.6352778077125549,0.06188118830323219,0.5617977380752563,0.5846575498580933,0.11148271709680557,1.375599980354309,0.06188118811881188,0.9647377938517179,50.0,758.0,1067.0,39.0
6,0.5647857785224915,0.5633646249771118,0.6362444162368774,0.059241704642772675,0.5617977380752563,0.5649315118789673,0.1071811318397522,1.3739334344863892,0.05924170616113744,0.9635514018691589,50.0,794.0,1031.0,39.0
7,0.5783699154853821,0.570487916469574,0.6375434398651123,0.06112469360232353,0.5617977380752563,0.5791780948638916,0.11025358736515045,1.3741188049316406,0.061124694376528114,0.9644160583941606,50.0,768.0,1057.0,39.0
8,0.5668756365776062,0.5644605159759521,0.6393104791641235,0.0595238097012043,0.5617977380752563,0.567123293876648,0.10764262080192566,1.373075008392334,0.05952380952380952,0.9636871508379888,50.0,790.0,1035.0,39.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_emots_4_nonmet
table: compare_stages_emots
table_extra: I+II+III & 13422
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 13939
run_name: CNN_20220218-1224
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4_nonmet
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_emots_4_nonmet\CNN
