epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.4541377127170563,0.5,0.4677062928676605,0.0,0.0,0.0,0.0,0.0
1,0.4821709096431732,0.5114467144012451,0.5169808864593506,0.5770653486251831,0.19227607548236847,0.28844374418258667,0.0,1.0
2,0.50527024269104,0.5204485654830933,0.5447125434875488,0.5759999752044678,0.3549712598323822,0.43924757838249207,0.0,2.0
3,0.5373402237892151,0.5416920185089111,0.5668411254882812,0.5911548137664795,0.4942481517791748,0.5383754968643188,0.0,3.0
4,0.5476564168930054,0.5570330619812012,0.5839468240737915,0.6160266995429993,0.4548068940639496,0.5232805609703064,0.0,4.0
5,0.5458623170852661,0.5587504506111145,0.5893172025680542,0.6256914734840393,0.41824159026145935,0.5013543963432312,0.0,5.0
6,0.5651491284370422,0.5675793886184692,0.5929229259490967,0.6157082915306091,0.5410846471786499,0.5759895443916321,0.0,6.0
7,0.542049765586853,0.5593657493591309,0.5979665517807007,0.6388102173805237,0.3705834150314331,0.4690587520599365,0.0,7.0
8,0.5759139060974121,0.5718384981155396,0.5986335277557373,0.6105006337165833,0.6162695288658142,0.6133715510368347,0.0,8.0
9,0.5790535807609558,0.5651301145553589,0.5983155965805054,0.5949539542198181,0.7169268727302551,0.6502701640129089,0.0,9.0
10,0.5727741718292236,0.5701242685317993,0.6008955240249634,0.6108085513114929,0.5990139842033386,0.6048538088798523,0.0,10.0
11,0.5662704706192017,0.570141613483429,0.6001672148704529,0.6207729578018188,0.5279375314712524,0.5706039071083069,0.0,11.0
12,0.542049765586853,0.5626435279846191,0.6050463914871216,0.6562998294830322,0.338126540184021,0.4463123381137848,0.0,12.0
13,0.5756896138191223,0.5674009919166565,0.5982024073600769,0.6018797159194946,0.6577649712562561,0.6285825967788696,0.0,13.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: need_infos_1
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
