epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.596994841892801,0.5806926565020238,0.5806926565020238,0.596994841892801,0.596994841892801,0.596994841892801,0.0
1,0.597667638483965,0.580686569889528,0.5806865698895279,0.597667638483965,0.597667638483965,0.597667638483965,0.0
2,0.5985647006055169,0.5823380707467259,0.5823380707467258,0.5985647006055169,0.5985647006055169,0.5985647006055169,0.0
3,0.587351424086118,0.570490276636538,0.570490276636538,0.587351424086118,0.587351424086118,0.587351424086118,0.0
4,0.5954249831800852,0.5782174340870588,0.5782174340870588,0.5954249831800852,0.5954249831800852,0.5954249831800852,0.0
5,0.5925095312850415,0.5755884232630329,0.5755884232630329,0.5925095312850415,0.5925095312850415,0.5925095312850415,0.0
6,0.5945279210585332,0.5779351167107946,0.5779351167107947,0.5945279210585332,0.5945279210585332,0.5945279210585332,0.0
7,0.5996860282574569,0.5823694168010793,0.5823694168010793,0.5996860282574569,0.5996860282574569,0.5996860282574569,0.0
8,0.5909396725723256,0.5751877212737251,0.5751877212737251,0.5909396725723256,0.5909396725723256,0.5909396725723256,0.0
9,0.5987889661359049,0.5812158008460391,0.5812158008460391,0.5987889661359049,0.5987889661359049,0.5987889661359049,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_1
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
