epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5752410888671875,0.5721349716186523,0.5956659317016602,0.6120331883430481,0.6059983372688293,0.5382716059684753,0.6090008020401001,0.6204514503479004,0.6120331950207469,0.531966813079551,1475.0,935.0,1090.0,959.0
1,0.5644763112068176,0.5662577152252197,0.6004024147987366,0.613364040851593,0.5468364953994751,0.5856789946556091,0.5781928300857544,0.6162881851196289,0.6133640552995392,0.5181301878549585,1331.0,839.0,1186.0,1103.0
2,0.565373420715332,0.5669549703598022,0.6067217588424683,0.6137614846229553,0.5497124195098877,0.5841975212097168,0.5799739956855774,0.6135544180870056,0.6137614678899083,0.5190873189995612,1338.0,842.0,1183.0,1096.0
3,0.5680645704269409,0.5686317086219788,0.613943338394165,0.6139013171195984,0.5624486207962036,0.5748147964477539,0.5870497226715088,0.6107197999954224,0.6139013452914798,0.522207267833109,1369.0,861.0,1164.0,1065.0
4,0.5795021057128906,0.5781125426292419,0.6198457479476929,0.6200085878372192,0.5932621359825134,0.5629629492759705,0.6063405871391296,0.6075758337974548,0.6200085873765565,0.5352112676056338,1444.0,885.0,1140.0,990.0
5,0.5898183584213257,0.5861928462982178,0.6241851449012756,0.6239246129989624,0.6257190108299255,0.54666668176651,0.6248205304145813,0.604555070400238,0.6239246210569439,0.5485629335976214,1523.0,918.0,1107.0,911.0
6,0.5963220596313477,0.590614914894104,0.6273511052131653,0.6246069073677063,0.6528348326683044,0.5283950567245483,0.6384090185165405,0.6019752025604248,0.6246069182389937,0.5587467362924282,1589.0,955.0,1070.0,845.0
7,0.600134551525116,0.5938167572021484,0.6296974420547485,0.6264077425003052,0.6626951694488525,0.5249382853507996,0.6440407037734985,0.5999415516853333,0.6264077669902912,0.5642250530785563,1613.0,962.0,1063.0,821.0
8,0.6048441529273987,0.5966784358024597,0.6321229934692383,0.6260315179824829,0.6857025623321533,0.5076543092727661,0.6545098423957825,0.5984851717948914,0.6260315078769693,0.5733407696597881,1669.0,997.0,1028.0,765.0
9,0.6034985184669495,0.5945746302604675,0.6342615485191345,0.6232420206069946,0.6918652653694153,0.4972839653491974,0.6557632088661194,0.5971965193748474,0.6232420429311621,0.5731360273192943,1684.0,1018.0,1007.0,750.0
10,0.6037228107452393,0.5947384834289551,0.6360040307044983,0.6232901811599731,0.692686915397644,0.4967901110649109,0.6561588048934937,0.5961772799491882,0.6232902033271719,0.5735461801596351,1686.0,1019.0,1006.0,748.0
11,0.603947103023529,0.5947780013084412,0.6375389099121094,0.6230655908584595,0.6947411894798279,0.49481481313705444,0.6569541692733765,0.5953519940376282,0.6230655858511422,0.5742120343839542,1691.0,1023.0,1002.0,743.0
12,0.603947103023529,0.5944875478744507,0.6386322379112244,0.6224340200424194,0.6976171135902405,0.4913580119609833,0.6578844785690308,0.5946544408798218,0.6224340175953079,0.5748122472559214,1698.0,1030.0,995.0,736.0
13,0.6048441529273987,0.5948528051376343,0.6395604014396667,0.6220043301582336,0.7037797570228577,0.48592591285705566,0.6603700518608093,0.5941720008850098,0.6220043572984749,0.5771260997067449,1713.0,1041.0,984.0,721.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_1
table: need_infos_dif_n
table_extra: 1
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220216-0316
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_1
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_1\CNN
