epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5525186356449062,0.5495546431711679,0.5495546431711678,0.5525186356449062,0.5525186356449062,0.5525186356449062,0.624739683789315
1,0.550937429410436,0.5555248080919183,0.5555248080919182,0.550937429410436,0.550937429410436,0.550937429410436,0.6193062354334824
2,0.5563587079286199,0.5575741739966606,0.5575741739966608,0.5563587079286199,0.5563587079286199,0.5563587079286199,0.615859349425748
3,0.5782697086062797,0.5687293972554921,0.5687293972554922,0.5782697086062797,0.5782697086062797,0.5782697086062797,0.602870552231082
4,0.5583916873729388,0.5539768236619125,0.5539768236619125,0.5583916873729388,0.5583916873729388,0.5583916873729388,0.6203472545678667
5,0.5635870792861983,0.5557358781667715,0.5557358781667715,0.5635870792861983,0.5635870792861983,0.5635870792861983,0.6164908795048007
6,0.5787214818161283,0.5679346170565203,0.5679346170565203,0.5787214818161283,0.5787214818161283,0.5787214818161283,0.6138752677457796
7,0.5595211203975604,0.55780407675006,0.5578040767500602,0.5595211203975604,0.5595211203975604,0.5595211203975604,0.6195518048547155
8,0.5606505534221821,0.5535039484820243,0.5535039484820244,0.5606505534221821,0.5606505534221821,0.5606505534221821,0.6205684272505396
9,0.577140275581658,0.5609843295648766,0.5609843295648766,0.577140275581658,0.577140275581658,0.577140275581658,0.6194588927913913
10,0.578495595211204,0.5686445987466286,0.5686445987466286,0.578495595211204,0.578495595211204,0.578495595211204,0.6186099672060219
11,0.5710413372487011,0.5671917039066591,0.5671917039066591,0.5710413372487011,0.5710413372487011,0.5710413372487011,0.6224928721249532

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_1
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
