epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.30275845527648926,0.4992910623550415,0.5152854919433594,0.2957296073436737,0.9810606837272644,0.45446571707725525,0.0,0.0
1,0.42229199409484863,0.5244863033294678,0.542439341545105,0.3098122477531433,0.7749999165534973,0.44266554713249207,0.0,1.0
2,0.40816327929496765,0.5320113897323608,0.5666203498840332,0.3129078149795532,0.835606038570404,0.4553147852420807,0.0,2.0
3,0.5772594809532166,0.541265070438385,0.5687075853347778,0.3395797908306122,0.4530302584171295,0.38818565011024475,0.0,3.0
4,0.5131195187568665,0.5604621171951294,0.5885850787162781,0.3386423885822296,0.6765151619911194,0.4513520300388336,0.0,4.0
5,0.5294908881187439,0.564626932144165,0.59121173620224,0.3441506326198578,0.6507575511932373,0.4502096176147461,0.0,5.0
6,0.6120206117630005,0.5591499209403992,0.5926926136016846,0.3672279417514801,0.42954549193382263,0.39594972133636475,0.0,6.0
7,0.5276967883110046,0.576303243637085,0.6056826710700989,0.3501144349575043,0.6954545378684998,0.4657534062862396,0.0,7.0
8,0.533303439617157,0.5789684057235718,0.6057230830192566,0.35280463099479675,0.6909090876579285,0.46709346771240234,0.0,8.0
9,0.5373402237892151,0.5770065188407898,0.6090262532234192,0.352754682302475,0.6742424368858337,0.4631797969341278,0.0,9.0
10,0.5561785101890564,0.5829235315322876,0.6123058795928955,0.3610290586948395,0.6484848260879517,0.46383094787597656,0.0,10.0
11,0.5200717449188232,0.5715460181236267,0.6124407052993774,0.3459804952144623,0.6977272629737854,0.462581604719162,0.0,11.0
12,0.5673918128013611,0.5748642683029175,0.6105401515960693,0.36000001430511475,0.5931817889213562,0.4480687081813812,0.0,12.0
13,0.6023772358894348,0.5777627229690552,0.6070497632026672,0.3754810392856598,0.5174242258071899,0.435170441865921,0.0,13.0
14,0.5095312595367432,0.572839617729187,0.6073557138442993,0.3445679247379303,0.7280303835868835,0.4677537679672241,0.0,14.0
15,0.5833146572113037,0.5762959718704224,0.6036862730979919,0.3664349615573883,0.5590909123420715,0.4427114725112915,0.0,15.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: need_infos_2
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
