epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.43058982491493225,0.5450865030288696,0.5827248096466064,0.320682555437088,0.8257575631141663,0.2644154131412506,0.4619622528553009,0.9657544493675232,0.32068255369226245,0.7830188679245284,1090.0,2309.0,830.0,230.0
1,0.5050459504127502,0.5547277927398682,0.583593487739563,0.3340815603733063,0.6765151619911194,0.43294042348861694,0.4472827613353729,0.9607853293418884,0.3340815563037785,0.7609182530795073,893.0,1780.0,1359.0,427.0
2,0.5220901370048523,0.5580534934997559,0.5875051617622375,0.3388954997062683,0.646212100982666,0.4698948562145233,0.4446181654930115,0.9577115774154663,0.33889551052840683,0.7595262615859938,853.0,1664.0,1475.0,467.0
3,0.5328549146652222,0.5619677305221558,0.5927788019180298,0.34332647919654846,0.6333333253860474,0.4906021058559418,0.4452729821205139,0.9550768136978149,0.3433264887063655,0.7608695652173914,836.0,1599.0,1540.0,484.0
4,0.5344247817993164,0.5657167434692383,0.5987765789031982,0.34584012627601624,0.6424242258071899,0.48900923132896423,0.4496288597583771,0.9526277780532837,0.3458401305057096,0.7648231190832088,848.0,1604.0,1535.0,472.0
5,0.5451894998550415,0.575776994228363,0.6053637266159058,0.35408079624176025,0.6507575511932373,0.5007964372634888,0.458622545003891,0.9499573111534119,0.354080791426216,0.7732415150024594,859.0,1567.0,1572.0,461.0
6,0.5460865497589111,0.5821211934089661,0.6115668416023254,0.357720285654068,0.6704545617103577,0.49378782510757446,0.4665260910987854,0.9474036693572998,0.35772029102667746,0.7808564231738035,885.0,1589.0,1550.0,435.0
7,0.5521417260169983,0.5857634544372559,0.6178213357925415,0.36132732033729553,0.668181836605072,0.5033450126647949,0.4690241813659668,0.9444842338562012,0.36132732486685787,0.7829534192269574,882.0,1559.0,1580.0,438.0
8,0.5597667694091797,0.5894231796264648,0.6233022212982178,0.3655374348163605,0.6621212363243103,0.5167250633239746,0.471032053232193,0.9416162371635437,0.36553743203680467,0.7843326885880078,874.0,1517.0,1622.0,446.0
9,0.5617851614952087,0.59063720703125,0.6274011135101318,0.3668067157268524,0.6613636612892151,0.5199108123779297,0.4718919098377228,0.9389700889587402,0.3668067226890756,0.784992784992785,873.0,1507.0,1632.0,447.0
10,0.5651491284370422,0.591929018497467,0.6304433941841125,0.3685774803161621,0.657575786113739,0.5262822508811951,0.4723809063434601,0.9366475939750671,0.36857749469214435,0.785171102661597,868.0,1487.0,1652.0,452.0
11,0.5631307363510132,0.5937879681587219,0.6329482793807983,0.36883875727653503,0.6689394116401672,0.5186365246772766,0.47549811005592346,0.9346997141838074,0.3688387635756057,0.7883777239709443,883.0,1511.0,1628.0,437.0
12,0.5651491284370422,0.5950020551681519,0.634577214717865,0.37012168765068054,0.668181836605072,0.5218222141265869,0.47637051343917847,0.9329794645309448,0.3701216953420059,0.7890173410404624,882.0,1501.0,1638.0,438.0
13,0.5703072547912598,0.5973486304283142,0.6359954476356506,0.3730834722518921,0.6636363863945007,0.5310608744621277,0.47764450311660767,0.9314476847648621,0.3730834752981261,0.7896731406916153,876.0,1472.0,1667.0,444.0
14,0.5725498795509338,0.598721981048584,0.637320339679718,0.37457191944122314,0.6628788113594055,0.5345651507377625,0.47866517305374146,0.9302178025245667,0.3745719178082192,0.790390956194065,875.0,1461.0,1678.0,445.0
15,0.5747925639152527,0.6005343198776245,0.6383540034294128,0.37628865242004395,0.6636363863945007,0.5374323129653931,0.4802631437778473,0.9291443228721619,0.37628865979381443,0.7916471140309713,876.0,1452.0,1687.0,444.0
16,0.5745682716369629,0.6025700569152832,0.6392276883125305,0.3771817684173584,0.6712121367454529,0.5339279770851135,0.4829653203487396,0.9282916784286499,0.37718177948063003,0.7943127962085308,886.0,1463.0,1676.0,434.0
17,0.5788293480873108,0.6047185063362122,0.6398776769638062,0.3798449635505676,0.668181836605072,0.5412551760673523,0.4843492805957794,0.9274412393569946,0.3798449612403101,0.7950397753860552,882.0,1440.0,1699.0,438.0
18,0.5795021057128906,0.6054158806800842,0.640520453453064,0.3804394602775574,0.6689394116401672,0.5418923497200012,0.4850315749645233,0.9267478585243225,0.38043946574752263,0.7956033676333022,883.0,1438.0,1701.0,437.0
19,0.5779322981834412,0.605617880821228,0.6408122777938843,0.3799145221710205,0.6734848618507385,0.5377508997917175,0.4857923686504364,0.9262707233428955,0.3799145299145299,0.7966021708352997,889.0,1451.0,1688.0,431.0
20,0.5801749229431152,0.605015754699707,0.6413133144378662,0.38051947951316833,0.6659091114997864,0.5441223382949829,0.4842975437641144,0.9256601929664612,0.38051948051948054,0.7947882736156352,879.0,1431.0,1708.0,441.0
21,0.5810719728469849,0.6041163206100464,0.641791582107544,0.38045376539230347,0.6606060862541199,0.5476266145706177,0.4828350245952606,0.9250801205635071,0.38045375218150085,0.7932625749884633,872.0,1420.0,1719.0,448.0
22,0.5824176073074341,0.6044135689735413,0.6423337459564209,0.3811403512954712,0.6583333611488342,0.5504937767982483,0.48277774453163147,0.9245069622993469,0.381140350877193,0.7930243230839835,869.0,1411.0,1728.0,451.0
23,0.5853330492973328,0.6045087575912476,0.642622709274292,0.38239216804504395,0.6515151262283325,0.5575023889541626,0.4819277226924896,0.9240410923957825,0.38239217429968875,0.7918552036199095,860.0,1389.0,1750.0,460.0
24,0.5864543914794922,0.6037687063217163,0.6427943706512451,0.3825111985206604,0.646212100982666,0.5613252520561218,0.4805634021759033,0.923646867275238,0.38251121076233185,0.7904890085240018,853.0,1377.0,1762.0,467.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_2
table: need_infos_dif_n
table_extra: 2
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220216-0336
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_2
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_2\CNN
