epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.4404788796024396,0.5311761641643876,0.5311761641643876,0.4404788796024396,0.4404788796024396,0.4404788796024396,0.9714963843496583
1,0.5464196973119494,0.5366202489256013,0.5366202489256013,0.5464196973119494,0.5464196973119494,0.5464196973119494,0.9663786034789874
2,0.5301558617573978,0.5436247697717251,0.5436247697717251,0.5301558617573978,0.5301558617573978,0.5301558617573978,0.9630633991399258
3,0.49536932459905125,0.5571338207661253,0.5571338207661254,0.49536932459905125,0.49536932459905125,0.49536932459905125,0.9595899165963098
4,0.48859272645132146,0.5615988539748098,0.5615988539748097,0.48859272645132146,0.48859272645132146,0.48859272645132146,0.9590194216735072
5,0.5256381296589112,0.5700196275418132,0.5700196275418131,0.5256381296589112,0.5256381296589112,0.5256381296589112,0.9582401428291266
6,0.5464196973119494,0.5710847240051348,0.5710847240051348,0.5464196973119494,0.5464196973119494,0.5464196973119494,0.9630852658971608

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_2
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
