epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.1652836948633194,0.5144433379173279,0.5946058630943298,0.12685337662696838,0.9782214164733887,0.05066530033946037,0.22458332777023315,1.1893455982208252,0.12685337726523888,0.9428571428571428,539.0,3710.0,198.0,12.0
1,0.3606189787387848,0.5557265877723694,0.6009732484817505,0.1404002457857132,0.8148820400238037,0.29657113552093506,0.239530548453331,1.1825928688049316,0.14040025015634772,0.9191118160190325,449.0,2749.0,1159.0,102.0
2,0.43350526690483093,0.5614510178565979,0.6036879420280457,0.14491190016269684,0.7313974499702454,0.3915046155452728,0.24189676344394684,1.1767808198928833,0.1449119021934556,0.9117997616209773,403.0,2378.0,1530.0,148.0
3,0.4615384638309479,0.5602948665618896,0.6073838472366333,0.14586523175239563,0.6914700269699097,0.4291197657585144,0.24091053009033203,1.1719554662704468,0.14586523736600307,0.907958852192745,381.0,2231.0,1677.0,170.0
4,0.46512672305107117,0.5623419880867004,0.6107553839683533,0.14676424860954285,0.6914700269699097,0.4332139194011688,0.24213534593582153,1.1686289310455322,0.1467642526964561,0.9087493290391842,381.0,2215.0,1693.0,170.0
5,0.48710474371910095,0.5663058757781982,0.6142428517341614,0.14943456649780273,0.6715063452720642,0.46110543608665466,0.24446645379066467,1.1648201942443848,0.1494345718901454,0.9087241553202219,370.0,2106.0,1802.0,181.0
6,0.5001121163368225,0.5729470252990723,0.6179805397987366,0.152731791138649,0.6696914434432983,0.47620266675949097,0.24873609840869904,1.1617090702056885,0.1527317880794702,0.9109153206069506,369.0,2047.0,1861.0,182.0
7,0.5140165686607361,0.5808795094490051,0.6209957003593445,0.15675446391105652,0.6696914434432983,0.4920675456523895,0.2540447413921356,1.1587663888931274,0.15675446049277825,0.9135391923990499,369.0,1985.0,1923.0,182.0
8,0.524781346321106,0.5846822261810303,0.6243329048156738,0.15913043916225433,0.6642467975616455,0.5051177144050598,0.25675201416015625,1.155909538269043,0.1591304347826087,0.9143121815655396,366.0,1934.0,1974.0,185.0
9,0.526799738407135,0.5889517068862915,0.6273584365844727,0.1609395444393158,0.6715063452720642,0.5063971281051636,0.2596491277217865,1.153896450996399,0.16093953892996954,0.9162037037037037,370.0,1929.0,1979.0,181.0
10,0.5382372736930847,0.5978152751922607,0.6302266120910645,0.16548357903957367,0.676950991153717,0.5186796188354492,0.2659536302089691,1.1514557600021362,0.16548358473824312,0.9192743764172335,373.0,1881.0,2027.0,178.0
11,0.5469835996627808,0.6004666090011597,0.6327506303787231,0.16749660670757294,0.6715063452720642,0.5294268131256104,0.26811593770980835,1.1491600275039673,0.16749660479855139,0.9195555555555556,370.0,1839.0,2069.0,181.0
12,0.5496748089790344,0.6012223958969116,0.635106086730957,0.16810934245586395,0.6696914434432983,0.5327533483505249,0.2687545418739319,1.1472209692001343,0.16810933940774486,0.9196113074204947,369.0,1826.0,2082.0,182.0
13,0.5579726099967957,0.6028382778167725,0.6373433470726013,0.16976743936538696,0.6624319553375244,0.5432446002960205,0.2702702581882477,1.1451871395111084,0.1697674418604651,0.9194456474664356,365.0,1785.0,2123.0,186.0
14,0.561560869216919,0.6002084016799927,0.6387326121330261,0.1691800206899643,0.6515426635742188,0.5488740801811218,0.2686120569705963,1.143571138381958,0.1691800188501414,0.9178433889602053,359.0,1763.0,2145.0,192.0
15,0.565597653388977,0.6032907962799072,0.6402732729911804,0.17094017565250397,0.6533575057983398,0.5532241463661194,0.2709823250770569,1.1419059038162231,0.17094017094017094,0.9188270293242669,360.0,1746.0,2162.0,191.0
16,0.5604395866394043,0.5995686650276184,0.6420149803161621,0.1687823235988617,0.6515426635742188,0.5475946664810181,0.2681105136871338,1.1405460834503174,0.16878232251998118,0.9176672384219554,359.0,1768.0,2140.0,192.0
17,0.5750167965888977,0.6047669649124146,0.6429619193077087,0.17283350229263306,0.6442831158638,0.5652507543563843,0.2725527882575989,1.1390380859375,0.17283349561830574,0.9185031185031185,355.0,1699.0,2209.0,196.0
18,0.5729984045028687,0.6043949723243713,0.6437076926231384,0.17239709198474884,0.6460980176925659,0.5626919269561768,0.2721712589263916,1.138291835784912,0.17239709443099274,0.918546365914787,356.0,1709.0,2199.0,195.0
19,0.5759139060974121,0.605278730392456,0.6444618701934814,0.17317073047161102,0.6442831158638,0.5662742853164673,0.2729719281196594,1.1373223066329956,0.17317073170731706,0.9186384391863844,355.0,1695.0,2213.0,196.0
20,0.5844359993934631,0.6101405620574951,0.6451106667518616,0.17644135653972626,0.6442831158638,0.5759979486465454,0.27701911330223083,1.1364754438400269,0.176441351888668,0.919901920719248,355.0,1657.0,2251.0,196.0
21,0.5884727239608765,0.6108845472335815,0.6459136009216309,0.17738693952560425,0.6406533718109131,0.5811156630516052,0.2778433859348297,1.1355706453323364,0.17738693467336683,0.9198055893074119,353.0,1637.0,2271.0,198.0
22,0.580399215221405,0.6062785387039185,0.6466622352600098,0.17423494160175323,0.6406533718109131,0.5719037652015686,0.27396196126937866,1.1349401473999023,0.1742349457058243,0.9186189889025894,353.0,1673.0,2235.0,198.0
23,0.5893698334693909,0.6067192554473877,0.6471095085144043,0.17578521370887756,0.6297640800476074,0.5836744904518127,0.2748515009880066,1.1340010166168213,0.1757852077001013,0.917907444668008,347.0,1627.0,2281.0,204.0
24,0.5857815742492676,0.6062312126159668,0.6478457450866699,0.175025075674057,0.6333938241004944,0.5790686011314392,0.27426326274871826,1.1335115432739258,0.17502507522567703,0.918052738336714,349.0,1645.0,2263.0,202.0
25,0.5860058069229126,0.6055796146392822,0.6480793356895447,0.1747865378856659,0.6315789222717285,0.5795803666114807,0.2738001346588135,1.1330000162124634,0.1747865394274234,0.9177471636952999,348.0,1643.0,2265.0,203.0
26,0.6043956279754639,0.6098349690437317,0.648540735244751,0.17960909008979797,0.6170598864555359,0.6026100516319275,0.2782323956489563,1.1323063373565674,0.17960908610670892,0.9177708495713173,340.0,1553.0,2355.0,211.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_4
table: need_infos_all_models
table_extra: 
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220214-2346
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_4\CNN
