epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5424982905387878,0.5690662860870361,0.5977902412414551,0.15452435612678528,0.6043556928634644,0.5337768793106079,0.24611972272396088,1.1868231296539307,0.1545243619489559,0.9053819444444444,333.0,1822.0,2086.0,218.0
1,0.5487777590751648,0.5656331777572632,0.6004036664962769,0.15362730622291565,0.5880217552185059,0.5432446002960205,0.2436090111732483,1.1802433729171753,0.15362731152204837,0.9034042553191489,324.0,1785.0,2123.0,227.0
2,0.5626822113990784,0.5735656023025513,0.6028721928596497,0.1582804173231125,0.5880217552185059,0.5591095089912415,0.24942263960838318,1.1748958826065063,0.15828041035661944,0.9058872305140961,324.0,1723.0,2185.0,227.0
3,0.5734469890594482,0.5711324214935303,0.6054602861404419,0.15832069516181946,0.5680580735206604,0.5742067694664001,0.24762657284736633,1.1707078218460083,0.15832068791097623,0.9041095890410958,313.0,1664.0,2244.0,238.0
4,0.5756896138191223,0.568514347076416,0.609174370765686,0.1573837548494339,0.5589836835861206,0.5780450105667114,0.24561405181884766,1.1672314405441284,0.15738375063873275,0.9028776978417267,308.0,1649.0,2259.0,243.0
5,0.5925095081329346,0.576551079750061,0.6134974956512451,0.16293929517269135,0.5553538799285889,0.5977482199668884,0.2519555389881134,1.1638860702514648,0.16293929712460065,0.9050755521115846,306.0,1572.0,2336.0,245.0
6,0.5967705845832825,0.5820999145507812,0.6174666881561279,0.1660417765378952,0.5626134276390076,0.6015864610671997,0.25641024112701416,1.1608871221542358,0.16604177825388325,0.9070216049382716,310.0,1557.0,2351.0,241.0
7,0.5976676344871521,0.589627206325531,0.6206005215644836,0.16959063708782196,0.5789473652839661,0.600307047367096,0.26233550906181335,1.1582504510879517,0.1695906432748538,0.9100077579519007,319.0,1562.0,2346.0,232.0
8,0.6055169105529785,0.5917667150497437,0.6238313317298889,0.1717391312122345,0.5735027194023132,0.6100307106971741,0.2643245458602905,1.1557536125183105,0.17173913043478262,0.9102710958381062,316.0,1524.0,2384.0,235.0
9,0.6088809370994568,0.5897883772850037,0.6263201236724854,0.17134986817836761,0.5644283294677734,0.6151484251022339,0.2628909647464752,1.1535910367965698,0.17134986225895316,0.9092284417549168,311.0,1504.0,2404.0,240.0
10,0.6158331632614136,0.5914161205291748,0.6291227340698242,0.17322835326194763,0.5589836835861206,0.6238484978675842,0.2644912004470825,1.1514203548431396,0.1732283464566929,0.9093621782916822,308.0,1470.0,2438.0,243.0
11,0.6117963790893555,0.5953490734100342,0.6321181058883667,0.1743929386138916,0.5735027194023132,0.6171954870223999,0.26745662093162537,1.1491219997406006,0.17439293598233996,0.9112202493388742,316.0,1496.0,2412.0,235.0
12,0.6158331632614136,0.5999906063079834,0.6341514587402344,0.17722222208976746,0.5789473652839661,0.621033787727356,0.2713738977909088,1.1474275588989258,0.17722222222222223,0.9127491538172245,319.0,1481.0,2427.0,232.0
13,0.6221125721931458,0.6043524742126465,0.6359561681747437,0.18038330972194672,0.5807622671127319,0.627942681312561,0.2752687931060791,1.1457215547561646,0.18038331454340473,0.9139664804469274,320.0,1454.0,2454.0,231.0
14,0.6245794892311096,0.6026418209075928,0.6374573707580566,0.18005697429180145,0.5735027194023132,0.6317809820175171,0.27406764030456543,1.144368290901184,0.18005698005698006,0.9130917159763313,316.0,1439.0,2469.0,235.0
15,0.6252523064613342,0.6006871461868286,0.6391700506210327,0.17926689982414246,0.5680580735206604,0.6333162784576416,0.27252939343452454,1.1429105997085571,0.17926689576174112,0.9122742351640251,313.0,1433.0,2475.0,238.0
16,0.6315317153930664,0.6003720760345459,0.6400654315948486,0.1803278625011444,0.5589836835861206,0.6417604684829712,0.27268701791763306,1.1419726610183716,0.18032786885245902,0.9116684841875682,308.0,1400.0,2508.0,243.0
17,0.625700831413269,0.6040610671043396,0.6410272121429443,0.1809360682964325,0.5753176212310791,0.6328045129776001,0.2752930819988251,1.1409739255905151,0.18093607305936074,0.9135574436645734,317.0,1435.0,2473.0,234.0
18,0.6295133233070374,0.5992206335067749,0.6420570015907288,0.17938263714313507,0.5589836835861206,0.6394575238227844,0.2716049551963806,1.140170693397522,0.1793826441467676,0.9113785557986871,308.0,1409.0,2499.0,243.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_4
table: need_infos_dif_n
table_extra: 4
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
batch_size: 16
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220216-0443
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_4\CNN
