epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8764296770095825,0.5,0.5359957814216614,0.0,0.0,1.0,0.0,1.1918914318084717,0.0,0.8764296927562234,0.0,0.0,3908.0,551.0
1,0.8764296770095825,0.5,0.5397546291351318,0.0,0.0,1.0,0.0,1.191906452178955,0.0,0.8764296927562234,0.0,0.0,3908.0,551.0
2,0.8764296770095825,0.5,0.5465449094772339,0.0,0.0,1.0,0.0,1.1919053792953491,0.0,0.8764296927562234,0.0,0.0,3908.0,551.0
3,0.8764296770095825,0.5,0.5498544573783875,0.0,0.0,1.0,0.0,1.1919009685516357,0.0,0.8764296927562234,0.0,0.0,3908.0,551.0
4,0.8753083944320679,0.4993602931499481,0.5514118671417236,0.0,0.0,0.9987205862998962,0.0,1.1918898820877075,0.0,0.8762909744050292,0.0,5.0,3903.0,551.0
5,0.8719443678855896,0.49822065234184265,0.557161808013916,0.04545454680919647,0.0018148820381611586,0.9946264028549194,0.0034904011990875006,1.1918609142303467,0.045454545454545456,0.876042370971377,1.0,21.0,3887.0,550.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_4
table: need_infos_all_models
table_extra: 
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
batch_size: 64
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: LSTM_20220215-0026
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_4\LSTM
