epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.12940120697021484,0.5009880065917969,0.6052792072296143,0.12378586083650589,0.9945553541183472,0.007420675363391638,0.22016873955726624,1.1919283866882324,0.12378585949853174,0.90625,548.0,3879.0,29.0,3.0
1,0.26553037762641907,0.5505872964859009,0.6145365834236145,0.13660618662834167,0.9292196035385132,0.1719549596309662,0.23819492757320404,1.1904475688934326,0.13660618996798293,0.9451476793248945,512.0,3236.0,672.0,39.0
2,0.3496299684047699,0.558811366558075,0.614273726940155,0.1409354954957962,0.836660623550415,0.28096213936805725,0.24123495817184448,1.188735842704773,0.14093549373280342,0.9242424242424242,461.0,2810.0,1098.0,90.0
3,0.4406817555427551,0.5733401775360107,0.6129868626594543,0.14915132522583008,0.7495462894439697,0.39713409543037415,0.24879518151283264,1.186621904373169,0.14915131816540267,0.9183431952662722,413.0,2356.0,1552.0,138.0
4,0.4801524877548218,0.5685756206512451,0.6112645864486694,0.14982163906097412,0.6860253810882568,0.4511258900165558,0.2459336221218109,1.1842135190963745,0.14982164090368608,0.9106404958677686,378.0,2145.0,1763.0,173.0
5,0.5151379108428955,0.5659292340278625,0.6101294159889221,0.15114767849445343,0.6333938241004944,0.4984646737575531,0.24405594170093536,1.1814744472503662,0.15114768297964487,0.906046511627907,349.0,1960.0,1948.0,202.0
6,0.5167077779769897,0.566045343875885,0.6097559928894043,0.15130434930324554,0.6315789222717285,0.5005117654800415,0.2441248744726181,1.178700566291809,0.15130434782608695,0.9059749884205651,348.0,1952.0,1956.0,203.0
7,0.5256783962249756,0.5633680820465088,0.6094689965248108,0.15089285373687744,0.6134301424026489,0.5133060216903687,0.2422070950269699,1.1758652925491333,0.15089285714285713,0.90401081568274,338.0,1902.0,2006.0,213.0
8,0.5375644564628601,0.5631335973739624,0.6091541647911072,0.1516828089952469,0.5970962047576904,0.5291709303855896,0.24191176891326904,1.1728845834732056,0.15168280313508528,0.903056768558952,329.0,1840.0,2068.0,222.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_4
table: need_infos_all_models
table_extra: 
dataset: SCAR
debug: False
bidirectional: True
num_layers: 1
hidden_dim: 512
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
batch_size: 16
embed_droprate: 0.1
wdrop: 0.2
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: LSTM_20220221-0205
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_4
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_4\LSTM
