Datetime,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy
20211004-1943,SCAR_NLP,CNN,36mo_err_surv,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,,,0,1,0.0001,5,loss_weight,0.799426934,0.798534456
20211004-2341,SCAR_NLP,CNN,36mo_err_surv,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,,,FALSE,100,1e-05,5,loss_weight,0.832378223,0.832475506
20211006-1052,SCAR_NLP,LSTM,36mo_err_surv,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,,,FALSE,1,0.0001,5,loss_weight,0.778295129,0.777941659
20211013-0723,SCAR_NLP,LSTM,36mo_err_surv,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,0.0,FALSE,100,0.0001,5,loss_weight,0.776011561,0.775038838
20211022-0828,SCAR_NLP,LSTM,36mo_err_surv,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,256.0,False,False,100,0.0001,5,loss_weight,0.8085260115606936,0.8080871429205516
20211125-2146,SCAR_NLP,BERT,36mo_err_surv,ppv3,,bert-base-uncased,,,,,,,,False,50,0.0001,5,loss_weight,0.8267857432365417,0.8266319036483765
20211126-0630,SCAR_NLP,BERT,36mo_err_surv,ppv3,,bert-base-uncased,,,,,,,,False,50,1e-05,5,loss_weight,0.8139285445213318,0.8138344883918762
20211128-2239,SCAR_NLP,BERT,36mo_err_surv,ppv3,,bert_pretrain_output_all_notes_150000,,,,,,,,False,50,0.0001,5,loss_weight,0.8174999952316284,0.8170312643051147
20211129-0223,SCAR_NLP,BERT,36mo_err_surv,ppv3,,bert_pretrain_output_disch_100000,,,,,,,,False,50,0.0001,5,loss_weight,0.8092857003211975,0.8090648651123047
20211129-0607,SCAR_NLP,BERT,36mo_err_surv,ppv3,,biobert_pretrain_output_all_notes_150000,,,,,,,,False,50,0.0001,5,loss_weight,0.7889285683631897,0.7874921560287476
20211129-0922,SCAR_NLP,BERT,36mo_err_surv,ppv3,,biobert_pretrain_output_disch_100000,,,,,,,,False,50,0.0001,5,loss_weight,0.8146428465843201,0.8142350912094116
