epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.5096428394317627,0.5044622421264648,0.549309253692627,0.6304348111152649,0.020938627421855927,0.04053109511733055,0.0,0.0
1,0.6907142996788025,0.6887117624282837,0.7762113213539124,0.7979333996772766,0.5018050670623779,0.616134762763977,0.0,1.0
2,0.7489285469055176,0.747510552406311,0.8356040716171265,0.8336594700813293,0.6151624321937561,0.7079351544380188,0.0,2.0
3,0.7632142901420593,0.761805534362793,0.8515064120292664,0.8525390625,0.6303249001502991,0.7247820496559143,0.0,3.0
4,0.7717857360839844,0.7704927921295166,0.8629505634307861,0.8538899421691895,0.6498194932937622,0.7380073666572571,0.0,4.0
5,0.7503571510314941,0.7483805418014526,0.8697748184204102,0.8915525078773499,0.5638989210128784,0.6908447742462158,0.0,5.0
6,0.741428554058075,0.7391945123672485,0.8753739595413208,0.9085290431976318,0.5306859016418457,0.6700090765953064,0.0,6.0
7,0.8050000071525574,0.8049163818359375,0.8827701807022095,0.806428074836731,0.7971119284629822,0.8017429709434509,0.0,7.0
8,0.7864285707473755,0.7850186824798584,0.8850332498550415,0.8846529722213745,0.6534296274185181,0.7516611814498901,0.0,8.0
9,0.8032143115997314,0.8022158145904541,0.8883330821990967,0.8690265417098999,0.7090252637863159,0.7809144854545593,0.0,9.0
10,0.8174999952316284,0.8170312643051147,0.8901848793029785,0.8446372151374817,0.7732852101325989,0.8073878884315491,0.0,10.0
11,0.8125,0.8126583099365234,0.8898781538009644,0.8002793192863464,0.8274368047714233,0.813631534576416,0.0,11.0
12,0.8078571557998657,0.8070850372314453,0.8902503848075867,0.8561816811561584,0.7350180745124817,0.7909867763519287,0.0,12.0
13,0.8082143068313599,0.8075531721115112,0.8890224695205688,0.848111629486084,0.7458483576774597,0.7936995029449463,0.0,13.0
14,0.8103571534156799,0.8104004263877869,0.8868074417114258,0.804564893245697,0.8144404292106628,0.8094725012779236,0.0,14.0
15,0.7900000214576721,0.7887282967567444,0.8816695809364319,0.8762983679771423,0.6700360774993896,0.7594107389450073,0.0,15.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: 36mo_err_surv
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert_pretrain_output_all_notes_150000
device: cuda:0
