epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.49464285373687744,0.5,0.4898154139518738,0.49464285373687744,1.0,0.6618877053260803,0.0,0.0
1,0.6221428513526917,0.6185786724090576,0.769577145576477,0.85161292552948,0.2859205901622772,0.4281081259250641,0.0,1.0
2,0.7400000095367432,0.7385847568511963,0.8258004188537598,0.8211143612861633,0.6064981818199158,0.6976743936538696,0.0,2.0
3,0.7532142996788025,0.7517661452293396,0.8469502925872803,0.8422091007232666,0.6166064739227295,0.7119633555412292,0.0,3.0
4,0.7589285969734192,0.7573204040527344,0.859055757522583,0.8652263283729553,0.6072202324867249,0.7136189937591553,0.0,4.0
5,0.7492856979370117,0.7472745776176453,0.8668383359909058,0.8938869833946228,0.5595667958259583,0.6882771253585815,0.0,5.0
6,0.7682142853736877,0.7664923667907715,0.8729900121688843,0.8906581997871399,0.6057761907577515,0.7211000919342041,0.0,6.0
7,0.7864285707473755,0.7853248119354248,0.8807158470153809,0.8567543029785156,0.6823104619979858,0.7596462965011597,0.0,7.0
8,0.7846428751945496,0.7832518815994263,0.8822472095489502,0.8803501725196838,0.6534296274185181,0.7501035928726196,0.0,8.0
9,0.8092857003211975,0.8090648651123047,0.8874982595443726,0.8192048072814941,0.7884476780891418,0.803532063961029,0.0,9.0
10,0.760357141494751,0.7583434581756592,0.8870252966880798,0.912240207195282,0.570397138595581,0.7019102573394775,0.0,10.0
11,0.7164285778999329,0.7137171626091003,0.8824859857559204,0.9313868880271912,0.4606498181819916,0.6164251565933228,0.0,11.0
12,0.7699999809265137,0.7682820558547974,0.8874840140342712,0.8928950428962708,0.6079422235488892,0.7233676910400391,0.0,12.0
13,0.7739285826683044,0.7723220586776733,0.8856465816497803,0.8868312835693359,0.6223827004432678,0.7314382791519165,0.0,13.0
14,0.8010714054107666,0.8001492619514465,0.8864721655845642,0.8600000143051147,0.7140794396400452,0.7802761197090149,0.0,14.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: 36mo_err_surv
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert_pretrain_output_disch_100000
device: cuda:0
