epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.5053571462631226,0.5,0.5191259384155273,0.0,0.0,0.0,0.0,0.0
1,0.7239285707473755,0.7225842475891113,0.8057100772857666,0.7936660051345825,0.5971119403839111,0.6814997792243958,0.0,1.0
2,0.7389285564422607,0.7371343374252319,0.8405959606170654,0.8538960814476013,0.569675087928772,0.6834127306938171,0.0,2.0
3,0.75,0.7481878995895386,0.8569473624229431,0.8726876974105835,0.5790613889694214,0.6961805820465088,0.0,3.0
4,0.7778571248054504,0.7766759395599365,0.8679739236831665,0.8522622585296631,0.6664260029792786,0.7479740977287292,0.0,4.0
5,0.7810714244842529,0.7796494364738464,0.8765006065368652,0.8784313797950745,0.6469314098358154,0.7451143860816956,0.0,5.0
6,0.7964285612106323,0.7953795790672302,0.883480966091156,0.8648164868354797,0.6974729299545288,0.7721822261810303,0.0,6.0
7,0.8146428465843201,0.8142350912094116,0.8892780542373657,0.8372274041175842,0.7761732935905457,0.8055451512336731,0.0,7.0
8,0.8135714530944824,0.8131673336029053,0.8928713798522949,0.8357976675033569,0.7754512429237366,0.804494321346283,0.0,8.0
9,0.7878571152687073,0.786432147026062,0.8927871584892273,0.8881255984306335,0.6534296274185181,0.7529118657112122,0.0,9.0
10,0.7857142686843872,0.784197211265564,0.8942103385925293,0.8944723606109619,0.6425992846488953,0.7478991746902466,0.0,10.0
11,0.7967857122421265,0.7955415844917297,0.8963640928268433,0.8827391862869263,0.6794223785400391,0.767849862575531,0.0,11.0
12,0.8096428513526917,0.8088058829307556,0.8945205807685852,0.8634812235832214,0.7306859493255615,0.7915525436401367,0.0,12.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: 36mo_err_surv
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: biobert_pretrain_output_disch_100000
device: cuda:0
