epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.659320809248555,0.6545982668543067,0.6545982668543066,0.659320809248555,0.659320809248555,0.659320809248555,0.729607051131369
1,0.7503612716763006,0.749135907551638,0.7491359075516381,0.7503612716763006,0.7503612716763006,0.7503612716763007,0.59770041019067
2,0.7395231213872833,0.7396002120087832,0.7396002120087832,0.7395231213872833,0.7395231213872833,0.7395231213872832,0.5978860813995888
3,0.7565028901734104,0.7562384628841028,0.7562384628841027,0.7565028901734104,0.7565028901734104,0.7565028901734105,0.5684660727950348
4,0.755057803468208,0.7537622420712109,0.7537622420712109,0.755057803468208,0.755057803468208,0.755057803468208,0.5896255281464807
5,0.7276011560693642,0.7247201719046588,0.7247201719046588,0.7276011560693642,0.7276011560693642,0.7276011560693642,0.5920709696994431
6,0.7720375722543352,0.7730981219468255,0.7730981219468255,0.7720375722543352,0.7720375722543352,0.7720375722543352,0.5496222246652362
7,0.7734826589595376,0.7731837609627079,0.7731837609627079,0.7734826589595376,0.7734826589595376,0.7734826589595375,0.533385367229067
8,0.7742052023121387,0.7740819262512304,0.7740819262512304,0.7742052023121387,0.7742052023121387,0.7742052023121387,0.5369816066204817
9,0.755057803468208,0.7536087184695681,0.753608718469568,0.755057803468208,0.755057803468208,0.755057803468208,0.5336881420393099
10,0.7720375722543352,0.7708720297230047,0.7708720297230048,0.7720375722543352,0.7720375722543352,0.7720375722543352,0.5492015943445009
11,0.7630057803468208,0.7612185805333117,0.7612185805333117,0.7630057803468208,0.7630057803468208,0.7630057803468208,0.5852106203292978
12,0.7749277456647399,0.7737957666127941,0.7737957666127941,0.7749277456647399,0.7749277456647399,0.77492774566474,0.5578183531761169
13,0.7619219653179191,0.7606663655376067,0.7606663655376068,0.7619219653179191,0.7619219653179191,0.7619219653179191,0.5959614491325685
14,0.7760115606936416,0.7750388378158918,0.7750388378158918,0.7760115606936416,0.7760115606936416,0.7760115606936416,0.5623528162638346
15,0.7557803468208093,0.7548248969329222,0.7548248969329222,0.7557803468208093,0.7557803468208093,0.7557803468208093,0.5738043291815396
16,0.7626445086705202,0.76121361973666,0.76121361973666,0.7626445086705202,0.7626445086705202,0.7626445086705204,0.6005997356327101
17,0.7658959537572254,0.7644712965694785,0.7644712965694785,0.7658959537572254,0.7658959537572254,0.7658959537572254,0.593532098093252
18,0.7669797687861272,0.7657034018010302,0.7657034018010304,0.7669797687861272,0.7669797687861272,0.7669797687861272,0.6368636324487883
19,0.7669797687861272,0.7663174962076015,0.7663174962076015,0.7669797687861272,0.7669797687861272,0.7669797687861272,0.6281090878892219

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: 36mo_err_surv
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
