epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.7073699421965318,0.7048461761396125,0.7048461761396125,0.7073699421965318,0.7073699421965318,0.7073699421965318,0.6264592323495054
1,0.648121387283237,0.6509244052918646,0.6509244052918646,0.648121387283237,0.648121387283237,0.648121387283237,0.6642835845892456
2,0.7138728323699421,0.7142346143502792,0.7142346143502792,0.7138728323699421,0.7138728323699421,0.7138728323699421,0.617656078146792
3,0.7669797687861272,0.7664600538376984,0.7664600538376983,0.7669797687861272,0.7669797687861272,0.7669797687861272,0.5619934218368311
4,0.7471098265895953,0.745033850909784,0.7450338509097841,0.7471098265895953,0.7471098265895953,0.7471098265895953,0.6807963450749716
5,0.7691473988439307,0.7705910919757808,0.7705910919757808,0.7691473988439307,0.7691473988439307,0.7691473988439306,0.5103384372831761
6,0.7507225433526011,0.7530337882470894,0.7530337882470894,0.7507225433526011,0.7507225433526011,0.7507225433526011,0.5202086800816416
7,0.8085260115606936,0.8080871429205516,0.8080871429205515,0.8085260115606936,0.8085260115606936,0.8085260115606936,0.467382547841675
8,0.8038294797687862,0.8037239917180805,0.8037239917180805,0.8038294797687862,0.8038294797687862,0.8038294797687862,0.46390373953457537
9,0.8020231213872833,0.802131053803756,0.8021310538037562,0.8020231213872833,0.8020231213872833,0.8020231213872833,0.47161574713115034
10,0.7922687861271677,0.7922483635898414,0.7922483635898414,0.7922687861271677,0.7922687861271677,0.7922687861271677,0.4832056623765792
11,0.8027456647398844,0.8030950149215541,0.8030950149215541,0.8027456647398844,0.8027456647398844,0.8027456647398844,0.46731965826160604
12,0.755057803468208,0.7539157656728537,0.7539157656728537,0.755057803468208,0.755057803468208,0.755057803468208,0.5736015031392547

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: 36mo_err_surv
bidirectional: False
num_layers: 2
hidden_dim: 256
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
