epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.3564356565475464,0.3564356565475464,0.5554112195968628,0.6666666865348816,0.03030303120613098,0.057971011847257614,0.0,0.0
1,0.5445544719696045,0.5445544719696045,0.5632034540176392,0.738095223903656,0.46969693899154663,0.5740740895271301,0.0,1.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 2
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
debug: True
dataset: SCAR
max_tokens: 512
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
