epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.43058982491493225,0.49973973631858826,0.5008985996246338,0.0,0.0,0.0,0.0,0.0
1,0.5205202698707581,0.530206561088562,0.5555661916732788,0.6033057570457458,0.46020492911338806,0.5221278667449951,0.0,1.0
2,0.5593182444572449,0.5559993982315063,0.583669126033783,0.6208350658416748,0.5799842476844788,0.5997148156166077,0.0,2.0
3,0.578605055809021,0.5680696368217468,0.5975458025932312,0.6261968612670898,0.6442080140113831,0.63507479429245,0.0,3.0
4,0.5815204977989197,0.5836654901504517,0.6181315183639526,0.6518987417221069,0.5681639313697815,0.6071578860282898,0.0,4.0
5,0.5772594809532166,0.5898566842079163,0.629325807094574,0.6737626194953918,0.4988180100917816,0.5732397437095642,0.0,5.0
6,0.6019287109375,0.587735652923584,0.6340898275375366,0.6391828060150146,0.6903073191642761,0.6637620329856873,0.0,6.0
7,0.5685130953788757,0.5924240946769714,0.6401627063751221,0.7025066018104553,0.4196217358112335,0.5254070162773132,0.0,7.0
8,0.6032742857933044,0.6006236672401428,0.644951581954956,0.661758542060852,0.6197793483734131,0.6400814056396484,0.0,8.0
9,0.5810719728469849,0.6019377708435059,0.6469585299491882,0.7067901492118835,0.45114263892173767,0.5507456064224243,0.0,9.0
10,0.6037228107452393,0.6027261018753052,0.6495606899261475,0.6658064723014832,0.609929084777832,0.6366440057754517,0.0,10.0
11,0.6196456551551819,0.6165236830711365,0.6545653343200684,0.6752706170082092,0.6390858888626099,0.656680166721344,0.0,11.0
12,0.5866786241531372,0.6042686104774475,0.6554889678955078,0.7012159824371338,0.4771473705768585,0.5678781270980835,0.0,12.0
13,0.6189728379249573,0.6128321886062622,0.6587411165237427,0.6680015921592712,0.6572104096412659,0.6625620722770691,0.0,13.0
14,0.6003588438034058,0.6141345500946045,0.6535898447036743,0.7036637663841248,0.5145784020423889,0.5944469571113586,0.0,14.0
15,0.6120206117630005,0.6179248094558716,0.6554626822471619,0.6912878155708313,0.5752561092376709,0.6279569864273071,0.0,15.0
16,0.6138147711753845,0.5969747304916382,0.6467480659484863,0.6440678238868713,0.7186761498451233,0.6793296337127686,0.0,16.0
17,0.5952007174491882,0.6034024953842163,0.6460230946540833,0.6806308627128601,0.5441292524337769,0.6047734022140503,0.0,17.0
18,0.5920609831809998,0.5995054244995117,0.6456582546234131,0.6752803325653076,0.545705258846283,0.603617250919342,0.0,18.0
19,0.5909397006034851,0.5969384908676147,0.6344859600067139,0.6703245043754578,0.5535855293273926,0.6063876152038574,0.0,19.0
20,0.593406617641449,0.5982829332351685,0.6351059675216675,0.669948399066925,0.5630417466163635,0.6118603944778442,0.0,20.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
