epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.5689616799354553,0.49980297684669495,0.4509526789188385,0.5690892934799194,0.9996059536933899,0.7252715229988098,0.0,0.0
1,0.5837631821632385,0.5570982694625854,0.5746219158172607,0.6091549396514893,0.7498030066490173,0.672200620174408,0.0,1.0
2,0.5862300992012024,0.5640109777450562,0.588850736618042,0.6160804033279419,0.7245863080024719,0.665942370891571,0.0,2.0
3,0.5891455411911011,0.5691031217575073,0.609613835811615,0.6209732890129089,0.7139480113983154,0.6642228960990906,0.0,3.0
4,0.5828661322593689,0.5728884339332581,0.6189107894897461,0.6305854916572571,0.6449960470199585,0.6377093195915222,0.0,4.0
5,0.5922852754592896,0.5803401470184326,0.6238700151443481,0.6351351141929626,0.6666666865348816,0.6505190134048462,0.0,5.0
6,0.5958735346794128,0.5839983820915222,0.6305046081542969,0.6381381154060364,0.6698186993598938,0.6535947322845459,0.0,6.0
7,0.5743440389633179,0.5884345769882202,0.6326289176940918,0.6748633980751038,0.48660361766815186,0.5654761791229248,0.0,7.0
8,0.5830903649330139,0.5902963876724243,0.6385511755943298,0.6653677821159363,0.5382190942764282,0.595077395439148,0.0,8.0
9,0.5969948172569275,0.5944747924804688,0.6417357921600342,0.6563950777053833,0.6126871705055237,0.6337884664535522,0.0,9.0
10,0.6180757880210876,0.6029324531555176,0.6430244445800781,0.6501258611679077,0.7123720049858093,0.6798270344734192,0.0,10.0
11,0.6028257608413696,0.5942184925079346,0.6377713680267334,0.6495126485824585,0.6564223766326904,0.6529492735862732,0.0,11.0
12,0.6156088709831238,0.6070929765701294,0.6446162462234497,0.6603112816810608,0.6686367392539978,0.6644479036331177,0.0,12.0
13,0.5960977673530579,0.5988753437995911,0.6402555704116821,0.6674239039421082,0.578802227973938,0.6199620366096497,0.0,13.0
14,0.6122449040412903,0.5908499956130981,0.6384955644607544,0.6359663605690002,0.7454688549041748,0.6863777041435242,0.0,14.0
15,0.6070867776870728,0.5965695381164551,0.6396526098251343,0.6495434045791626,0.6725768446922302,0.6608595252037048,0.0,15.0
16,0.6028257608413696,0.5939654111862183,0.6357376575469971,0.6490477919578552,0.6579984426498413,0.6534925103187561,0.0,16.0
17,0.5978919267654419,0.5926052331924438,0.6307230591773987,0.6516076326370239,0.6308116912841797,0.6410410404205322,0.0,17.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert_pretrain_output_disch_100000
device: cuda:0
