epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.43081411719322205,0.5,0.4999440014362335,0.0,0.0,0.0,0.0,0.0
1,0.49383270740509033,0.5279602408409119,0.5412483215332031,0.6224934458732605,0.2813238799571991,0.38751697540283203,0.0,1.0
2,0.5265754461288452,0.5538123846054077,0.5879106521606445,0.6541516184806824,0.3569740056991577,0.46189144253730774,0.0,2.0
3,0.5402556657791138,0.5713346600532532,0.6156147718429565,0.6918238997459412,0.34672966599464417,0.46194222569465637,0.0,3.0
4,0.5779322981834412,0.5789948105812073,0.6228328943252563,0.6461675763130188,0.5713160037994385,0.6064408421516418,0.0,4.0
5,0.5738955140113831,0.5851298570632935,0.6289219856262207,0.6661458611488342,0.5039401054382324,0.5737999677658081,0.0,5.0
6,0.5886970162391663,0.5905391573905945,0.6330974102020264,0.6581311821937561,0.5772261619567871,0.6150293946266174,0.0,6.0
7,0.5972191095352173,0.5926469564437866,0.6373146176338196,0.6524239778518677,0.6256895065307617,0.6387771368026733,0.0,7.0
8,0.5669432878494263,0.5918676257133484,0.6430661678314209,0.704652726650238,0.4117415249347687,0.519771158695221,0.0,8.0
9,0.5543844103813171,0.5848849415779114,0.6461821794509888,0.7120862007141113,0.36446020007133484,0.48214754462242126,0.0,9.0
10,0.6012558937072754,0.6058741807937622,0.6469458937644958,0.6770736575126648,0.5724980235099792,0.6204099655151367,0.0,10.0
11,0.586902916431427,0.6007956266403198,0.6469213962554932,0.688720166683197,0.5003939867019653,0.5796440243721008,0.0,11.0
12,0.6191971302032471,0.5926544666290283,0.643591582775116,0.633672833442688,0.7844759821891785,0.7010564208030701,0.0,12.0
13,0.5622336864471436,0.592223048210144,0.6483452320098877,0.7219697833061218,0.37549248337745667,0.4940384328365326,0.0,13.0
14,0.5931823253631592,0.6074507236480713,0.6480087041854858,0.697167694568634,0.5043340921401978,0.5852766036987305,0.0,14.0
15,0.6010316014289856,0.6048545837402344,0.6435115337371826,0.6748042106628418,0.5772261619567871,0.6222127676010132,0.0,15.0
16,0.5960977673530579,0.6021656394004822,0.6402188539505005,0.6757271885871887,0.5583136081695557,0.6114347577095032,0.0,16.0
17,0.5557299852371216,0.5862568616867065,0.6412648558616638,0.7143957018852234,0.3656422197818756,0.48371124267578125,0.0,17.0
18,0.5839874148368835,0.5955137014389038,0.6347262263298035,0.6781428456306458,0.5122143626213074,0.583613932132721,0.0,18.0
19,0.5781565308570862,0.5899486541748047,0.628115713596344,0.6724409461021423,0.5047281384468079,0.5766374468803406,0.0,19.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: biobert_pretrain_output_disch_100000
device: cuda:0
