epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6180758017492711,0.5946433574580484,0.5946433574580484,0.6180758017492711,0.6180758017492711,0.6180758017492711,0.0
1,0.6106750392464678,0.5866868369138907,0.5866868369138907,0.6106750392464678,0.6106750392464678,0.6106750392464678,0.0
2,0.6214397847050909,0.596522755213929,0.596522755213929,0.6214397847050909,0.6214397847050909,0.6214397847050909,0.0
3,0.619645660461987,0.594756884322381,0.5947568843223809,0.619645660461987,0.619645660461987,0.619645660461987,0.0
4,0.6169544740973313,0.5920764401913404,0.5920764401913403,0.6169544740973313,0.6169544740973313,0.6169544740973313,0.0
5,0.6066382596994842,0.5822548793989866,0.5822548793989866,0.6066382596994842,0.6066382596994842,0.6066382596994842,0.0
6,0.6214397847050909,0.5966493063888038,0.5966493063888038,0.6214397847050909,0.6214397847050909,0.6214397847050909,0.0
7,0.6162816775061672,0.590726116593628,0.590726116593628,0.6162816775061672,0.6162816775061672,0.6162816775061672,0.0
8,0.6232339089481946,0.5988581063924137,0.5988581063924137,0.6232339089481946,0.6232339089481946,0.6232339089481946,0.0
9,0.6151603498542274,0.59037384488723,0.59037384488723,0.6151603498542274,0.6151603498542274,0.6151603498542274,0.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: none
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: emots
dataset: SCAR
max_features: 1000
use_idf: True
classifier: rf
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
results_path: results\reg_lstm
