epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6021118849696697,0.616942142804194,0.616942142804194,0.6021118849696697,0.6021118849696697,0.6021118849696697,0.552560410069392
1,0.615592001797349,0.6296029601930633,0.6296029601930633,0.615592001797349,0.615592001797349,0.615592001797349,0.5443709673530538
2,0.6243540777353404,0.637164363196086,0.637164363196086,0.6243540777353404,0.6243540777353404,0.6243540777353404,0.5388337686738163
3,0.6243540777353404,0.6389545634250604,0.6389545634250603,0.6243540777353404,0.6243540777353404,0.6243540777353404,0.538173897636643
4,0.6322174792181532,0.6427862796616451,0.6427862796616451,0.6322174792181532,0.6322174792181532,0.6322174792181532,0.5351870497103439
5,0.6373848573354303,0.6448914225234945,0.6448914225234945,0.6373848573354303,0.6373848573354303,0.6373848573354303,0.5348784298079232
6,0.64075488654235,0.645611085486488,0.645611085486488,0.64075488654235,0.64075488654235,0.64075488654235,0.5371731615473166
7,0.6328914850595372,0.6401170404658556,0.6401170404658556,0.6328914850595372,0.6328914850595372,0.6328914850595372,0.5424865049241475
8,0.6274994383284656,0.6383262225004325,0.6383262225004324,0.6274994383284656,0.6274994383284656,0.6274994383284656,0.5501703180145319
9,0.6279487755560548,0.6384008656546771,0.638400865654677,0.6279487755560548,0.6279487755560548,0.6279487755560548,0.5572993624253162
10,0.6369355201078409,0.6356739710569883,0.6356739710569883,0.6369355201078409,0.6369355201078409,0.6369355201078409,0.5672423456740336
11,0.625252752190519,0.631687305927799,0.631687305927799,0.625252752190519,0.625252752190519,0.625252752190519,0.5894829004307409

Run Arguments:
cuda: True
balance_loss: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
dataset: SCAR
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
epoch_decay: 15
weight_decay: 0
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
save_path: model_checkpoints\char_cnn
resume_snapshot: None
trained_model: None
device: cuda:0
