epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5976185126937766,0.5872899562301166,0.5872899562301165,0.5976185126937766,0.5976185126937766,0.5976185126937766,0.5855213552445869

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1
batch_size: 8
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
bidirectional: True
bottleneck_layer: False
num_layers: 1
hidden_dim: 12
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
