epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5781569965870307,0.5681856215911943,0.5681856215911943,0.5781569965870307,0.5781569965870307,0.5781569965870307,0.5931236804395482
1,0.5820250284414107,0.5490053450579766,0.5490053450579766,0.5820250284414107,0.5820250284414107,0.5820250284414107,0.587615064088849
2,0.5808873720136519,0.5642139113501342,0.5642139113501342,0.5808873720136519,0.5808873720136519,0.5808873720136519,0.5838379929031151
3,0.5879408418657566,0.5657359090021629,0.5657359090021629,0.5879408418657566,0.5879408418657566,0.5879408418657566,0.5813517769177755
4,0.6156996587030716,0.5832347616403344,0.5832347616403344,0.6156996587030716,0.6156996587030716,0.6156996587030716,0.5830192842345306
5,0.6284414106939704,0.6039123136646356,0.6039123136646356,0.6284414106939704,0.6284414106939704,0.6284414106939704,0.5770663536977076
6,0.6295790671217293,0.6106170904932515,0.6106170904932514,0.6295790671217293,0.6295790671217293,0.6295790671217293,0.5766177967838619
7,0.6186575654152446,0.6086583346645267,0.6086583346645266,0.6186575654152446,0.6186575654152446,0.6186575654152446,0.5790724607481472
8,0.6129692832764505,0.6116785586599829,0.6116785586599829,0.6129692832764505,0.6129692832764505,0.6129692832764505,0.5884463812993921
9,0.6088737201365187,0.603234989844897,0.603234989844897,0.6088737201365187,0.6088737201365187,0.6088737201365187,0.6138084124827731
10,0.6102389078498294,0.6005602422011092,0.600560242201109,0.6102389078498294,0.6102389078498294,0.6102389078498294,0.6358033772827922
11,0.612514220705347,0.6011104687575275,0.6011104687575275,0.612514220705347,0.612514220705347,0.612514220705347,0.662817486818286

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 64
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
