epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5858585858585859,0.5826988926761921,0.5826988926761921,0.5858585858585859,0.5858585858585859,0.5858585858585859,0.5768783948312328
1,0.6251402918069585,0.6085381607680778,0.6085381607680778,0.6251402918069585,0.6251402918069585,0.6251402918069585,0.5569704338185877
2,0.6289562289562289,0.6174222138009184,0.6174222138009184,0.6289562289562289,0.6289562289562289,0.6289562289562289,0.5539472825704828
3,0.6237934904601571,0.620585511694903,0.620585511694903,0.6237934904601571,0.6237934904601571,0.6237934904601571,0.5655834221647287
4,0.6118967452300785,0.6150376924129761,0.6150376924129762,0.6118967452300785,0.6118967452300785,0.6118967452300785,0.5994819262578308
5,0.5916947250280583,0.6049964179774376,0.6049964179774376,0.5916947250280583,0.5916947250280583,0.5916947250280583,0.6488385490497952
6,0.5885521885521886,0.598866186076927,0.598866186076927,0.5885521885521886,0.5885521885521886,0.5885521885521886,0.720667005529965
7,0.5838383838383838,0.5897662457978539,0.5897662457978539,0.5838383838383838,0.5838383838383838,0.5838383838383838,0.8132936330762971

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 4
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
bidirectional: True
num_layers: 2
hidden_dim: 128
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
