epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5156074556478778,0.5193368853146922,0.5193368853146922,0.5156074556478778,0.5156074556478778,0.5156074556478778,0.5940737632049365
1,0.5135863462834045,0.5225918397403935,0.5225918397403935,0.5135863462834045,0.5135863462834045,0.5135863462834045,0.5936199932047047
2,0.5414327419717044,0.5499046387214512,0.5499046387214513,0.5414327419717044,0.5414327419717044,0.5414327419717044,0.592484198340176
3,0.5616438356164384,0.5701319877437308,0.5701319877437308,0.5616438356164384,0.5616438356164384,0.5616438356164384,0.5892199846247805
4,0.5605209970806198,0.565963017267056,0.565963017267056,0.5605209970806198,0.5605209970806198,0.5605209970806198,0.5844191544229217
5,0.5695037053671682,0.5776692518706115,0.5776692518706114,0.5695037053671682,0.5695037053671682,0.5695037053671682,0.5810206773143116
6,0.5724230855602964,0.5872353086858574,0.5872353086858574,0.5724230855602964,0.5724230855602964,0.5724230855602964,0.5776965730042669
7,0.5730967886817876,0.5906916407899435,0.5906916407899436,0.5730967886817876,0.5730967886817876,0.5730967886817876,0.5758485508879614
8,0.5807320907253537,0.5951668945792996,0.5951668945792996,0.5807320907253537,0.5807320907253537,0.5807320907253537,0.5733229844839705
9,0.5843251740399731,0.5972391922512996,0.5972391922512995,0.5843251740399731,0.5843251740399731,0.5843251740399731,0.5713955194038787

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 6
lr: 1e-05
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
bidirectional: True
num_layers: 2
hidden_dim: 128
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
