epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5724230855602964,0.5077104067558869,0.5077104067558869,0.5724230855602964,0.5724230855602964,0.5724230855602964,0.5941289785251643
1,0.5737704918032787,0.5459483806479877,0.5459483806479876,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5935584276232713
2,0.5766898719964069,0.5617734408582247,0.5617734408582247,0.5766898719964069,0.5766898719964069,0.5766898719964069,0.5922743604289089
3,0.577363575117898,0.5774661516660393,0.5774661516660394,0.577363575117898,0.577363575117898,0.577363575117898,0.588378026499883
4,0.571973950145969,0.5814250133172087,0.5814250133172087,0.571973950145969,0.571973950145969,0.571973950145969,0.5821991169757509
5,0.5751178980462609,0.5796179863557741,0.5796179863557741,0.5751178980462609,0.5751178980462609,0.5751178980462609,0.5799961549757627
6,0.5748933303390973,0.5798014450456899,0.5798014450456899,0.5748933303390973,0.5748933303390973,0.5748933303390973,0.5785286051107127
7,0.5811812261396812,0.5876717611417218,0.5876717611417218,0.5811812261396812,0.5811812261396812,0.5811812261396812,0.5765661914929406
8,0.5888165281832473,0.5967255091904166,0.5967255091904166,0.5888165281832473,0.5888165281832473,0.5888165281832473,0.5736763726012383
9,0.5962272625196496,0.6025998893489067,0.6025998893489067,0.5962272625196496,0.5962272625196496,0.5962272625196496,0.5706846911766006
10,0.6067819447563441,0.6062865451972695,0.6062865451972694,0.6067819447563441,0.6067819447563441,0.6067819447563441,0.5678521537925161
11,0.6020660229059062,0.6048728643619155,0.6048728643619156,0.6020660229059062,0.6020660229059062,0.6020660229059062,0.5654214703218452
12,0.6110487311924545,0.6097802814815729,0.6097802814815728,0.6110487311924545,0.6110487311924545,0.6110487311924545,0.5625109827374064
13,0.6076802155849989,0.6094865830407661,0.6094865830407661,0.6076802155849989,0.6076802155849989,0.6076802155849989,0.5615860244226648
14,0.6117224343139457,0.6075802169008233,0.6075802169008233,0.6117224343139457,0.6117224343139457,0.6117224343139457,0.5614508773885858
15,0.6108241634852908,0.6086312994510636,0.6086312994510636,0.6108241634852908,0.6108241634852908,0.6108241634852908,0.5627752294009338
16,0.6171120592858746,0.616691964221442,0.616691964221442,0.6171120592858746,0.6171120592858746,0.6171120592858746,0.5665781283362556
17,0.616887491578711,0.6161140282139721,0.616114028213972,0.616887491578711,0.616887491578711,0.616887491578711,0.5785048783106246
18,0.6175611947002021,0.6167057441903034,0.6167057441903034,0.6175611947002021,0.6175611947002021,0.6175611947002021,0.5762690073267769
19,0.6110487311924545,0.6119375664574991,0.6119375664574991,0.6110487311924545,0.6110487311924545,0.6110487311924545,0.5864253205574377
20,0.6103750280709634,0.609125115947126,0.609125115947126,0.6103750280709634,0.6103750280709634,0.6103750280709634,0.587841613997842
21,0.6074556478778351,0.6090355461495272,0.6090355461495272,0.6074556478778351,0.6074556478778351,0.6074556478778351,0.5933573683610995
22,0.60835391870649,0.6078575644830557,0.6078575644830558,0.60835391870649,0.60835391870649,0.60835391870649,0.6125409704599214
23,0.6101504603637997,0.6110851622642751,0.6110851622642751,0.6101504603637997,0.6101504603637997,0.6101504603637997,0.6044311891454065

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 6
lr: 1e-05
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
bidirectional: True
num_layers: 2
hidden_dim: 128
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
