epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5957828622700763,0.5657955132339142,0.5657955132339142,0.5957828622700763,0.5957828622700763,0.5957828622700763,0.589023293187769
1,0.5926424405563033,0.5699881216609484,0.5699881216609485,0.5926424405563033,0.5926424405563033,0.5926424405563033,0.580608885202134
2,0.6016150740242261,0.5822321059049647,0.5822321059049647,0.6016150740242261,0.6016150740242261,0.6016150740242261,0.5749221935687765
3,0.607671601615074,0.5916612172127371,0.5916612172127372,0.607671601615074,0.607671601615074,0.607671601615074,0.5704973444523112
4,0.6150740242261103,0.6027152130765555,0.6027152130765555,0.6150740242261103,0.6150740242261103,0.6150740242261103,0.5664194411309432
5,0.6195603409600717,0.6083000227553602,0.6083000227553602,0.6195603409600717,0.6195603409600717,0.6195603409600717,0.5626308044686934
6,0.6294302377747869,0.6167820883921604,0.6167820883921604,0.6294302377747869,0.6294302377747869,0.6294302377747869,0.5584689384287064
7,0.6357110812023329,0.6236275737512713,0.6236275737512714,0.6357110812023329,0.6357110812023329,0.6357110812023329,0.552226213114098
8,0.6433378196500673,0.6302020056315926,0.6302020056315926,0.6433378196500673,0.6433378196500673,0.6433378196500673,0.5487375148259079
9,0.6469268730372364,0.6325337631887216,0.6325337631887216,0.6469268730372364,0.6469268730372364,0.6469268730372364,0.5464654151315163
10,0.6444593988335576,0.6381391942714766,0.6381391942714766,0.6444593988335576,0.6444593988335576,0.6444593988335576,0.5434972905909443
11,0.6399730820995962,0.6362830627278486,0.6362830627278485,0.6399730820995962,0.6399730820995962,0.6399730820995962,0.5436801889576202
12,0.6366083445491252,0.6393306189683676,0.6393306189683675,0.6366083445491252,0.6366083445491252,0.6366083445491252,0.5464528238976574
13,0.6339165545087483,0.6358280581182979,0.6358280581182979,0.6339165545087483,0.6339165545087483,0.6339165545087483,0.5488183979294315
14,0.6325706594885598,0.633697590086296,0.633697590086296,0.6325706594885598,0.6325706594885598,0.6325706594885598,0.5571578858222206

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 1
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
bidirectional: False
num_layers: 1
hidden_dim: 256
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 1e-05
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
