epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.58820871922295,0.5574790992285932,0.5574790992285932,0.58820871922295,0.58820871922295,0.58820871922295,0.5822015694148249
1,0.5997289360740908,0.5746930361852542,0.5746930361852542,0.5997289360740908,0.5997289360740908,0.5997289360740908,0.5765992889730193
2,0.6083126270612152,0.5907538809769877,0.5907538809769877,0.6083126270612152,0.6083126270612152,0.6083126270612152,0.5715159608734598
3,0.6132821323695505,0.5914272901324374,0.5914272901324376,0.6132821323695505,0.6132821323695505,0.6132821323695505,0.5722500379565808
4,0.6089902868759882,0.6042124870814536,0.6042124870814537,0.6089902868759882,0.6089902868759882,0.6089902868759882,0.576581498272985
5,0.6202846171222046,0.6107558713283638,0.6107558713283638,0.6202846171222046,0.6202846171222046,0.6202846171222046,0.5712428997746475
6,0.5934041111362096,0.595779934593223,0.595779934593223,0.5934041111362096,0.5934041111362096,0.5934041111362096,0.5937465208468677
7,0.5870792861983284,0.5947583180448254,0.5947583180448253,0.5870792861983284,0.5870792861983284,0.5870792861983284,0.6180048503464074
8,0.5832392139146149,0.5924896089500855,0.5924896089500855,0.5832392139146149,0.5832392139146149,0.5832392139146149,0.6480224503458832
9,0.5733002032979444,0.5820925213588021,0.582092521358802,0.5733002032979444,0.5733002032979444,0.5733002032979444,0.6846180496027143
10,0.5728484300880958,0.5850578534351882,0.5850578534351882,0.5728484300880958,0.5728484300880958,0.5728484300880958,0.7140051731102758

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: emots
bidirectional: False
num_layers: 2
hidden_dim: 256
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
