epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5762367291619607,0.556927523913184,0.556927523913184,0.5762367291619607,0.5762367291619607,0.5762367291619607,0.6251737827019725
1,0.5574881409532415,0.560550689937622,0.5605506899376221,0.5574881409532415,0.5574881409532415,0.5574881409532415,0.6178194258710463
2,0.5676530381748363,0.5652299606755941,0.5652299606755941,0.5676530381748363,0.5676530381748363,0.5676530381748363,0.6154667975233613
3,0.5753331827422634,0.5710555240515546,0.5710555240515545,0.5753331827422634,0.5753331827422634,0.5753331827422634,0.6120983409367019
4,0.5879828326180258,0.5773229670756421,0.5773229670756421,0.5879828326180258,0.5879828326180258,0.5879828326180258,0.6067876712881404
5,0.5864016263835554,0.5833543360006721,0.583354336000672,0.5864016263835554,0.5864016263835554,0.5864016263835554,0.6078040702737493
6,0.5723966568782471,0.5752922974158894,0.5752922974158895,0.5723966568782471,0.5723966568782471,0.5723966568782471,0.6212584569299822
7,0.5694601310142309,0.5724365523833291,0.5724365523833291,0.5694601310142309,0.5694601310142309,0.5694601310142309,0.6380832832065417
8,0.5762367291619607,0.5771796547573307,0.5771796547573307,0.5762367291619607,0.5762367291619607,0.5762367291619607,0.6426221110837923
9,0.5753331827422634,0.578917110708354,0.578917110708354,0.5753331827422634,0.5753331827422634,0.5753331827422634,0.6607048974620352

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: infos
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
