epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.6526104417670683,0.6447123807251667,0.6447123807251667,0.6526104417670683,0.6526104417670683,0.6526104417670683,0.6390107977821167

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1
batch_size: 8
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: see_SOCIALWORK_by_999mo
dataset: SCAR
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
epoch_decay: 15
weight_decay: 0
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
save_path: model_checkpoints\char_cnn
resume_snapshot: None
trained_model: None
device: cuda:0
