epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.5274390243902439,0.5,0.5,0.5274390243902439,0.5274390243902439,0.5274390243902439,0.6877703061026912
1,0.5274390243902439,0.5,0.5,0.5274390243902439,0.5274390243902439,0.5274390243902439,0.6868801732217112
2,0.5609756097560976,0.5510908073839269,0.5510908073839269,0.5609756097560976,0.5609756097560976,0.5609756097560976,0.6833034494230824
3,0.5955284552845529,0.5852445770402138,0.5852445770402138,0.5955284552845529,0.5955284552845529,0.5955284552845529,0.6686372026320426
4,0.6351626016260162,0.6244390577413139,0.6244390577413139,0.6351626016260162,0.6351626016260162,0.6351626016260162,0.634591116059211
5,0.6453252032520326,0.639331220088259,0.639331220088259,0.6453252032520326,0.6453252032520326,0.6453252032520326,0.6241104328824628
6,0.6565040650406504,0.6535086083659642,0.6535086083659642,0.6565040650406504,0.6565040650406504,0.6565040650406504,0.6233330133461183
7,0.6651422764227642,0.6623127602709926,0.6623127602709927,0.6651422764227642,0.6651422764227642,0.6651422764227642,0.6317964657660453
8,0.6565040650406504,0.6531170364845547,0.6531170364845545,0.6565040650406504,0.6565040650406504,0.6565040650406504,0.6526334425134044
9,0.6519308943089431,0.649397103611163,0.6493971036111629,0.6519308943089431,0.6519308943089431,0.6519308943089431,0.6940488151965603
10,0.5919715447154471,0.5871868978805395,0.5871868978805395,0.5919715447154471,0.5919715447154471,0.5919715447154471,0.6738009481660782
11,0.4811991869918699,0.5065665982969731,0.506566598296973,0.4811991869918699,0.4811991869918699,0.4811991869918699,0.6875573127500473
12,0.4761178861788618,0.5027006028963888,0.5027006028963888,0.4761178861788618,0.4761178861788618,0.4761178861788618,0.6879113133876554

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
lr: 0.0001
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\datasets
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: PPv3
target: see_SOCIALWORK_by_999mo
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
dataset: SCAR
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
word_vectors_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
word_vectors_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
