epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.22695671021938324,0.4900316298007965,0.47762322425842285,0.01946193538606167,0.7640449404716492,0.03795702010393143,0.0,0.0
1,0.26171788573265076,0.524276852607727,0.5219036936759949,0.021225711330771446,0.7977527976036072,0.04135119542479515,0.0,1.0
2,0.307468056678772,0.5421142578125,0.5774663686752319,0.022300096228718758,0.7865168452262878,0.043370503932237625,0.0,2.0
3,0.38214847445487976,0.563704252243042,0.6105725765228271,0.023928573355078697,0.7528089880943298,0.046382829546928406,0.0,3.0
4,0.7403004765510559,0.5923277139663696,0.6386290788650513,0.03400174528360367,0.43820226192474365,0.06310679763555527,0.0,4.0
5,0.6882708668708801,0.5988044142723083,0.6479315161705017,0.032350827008485794,0.5056179761886597,0.06081080809235573,0.0,5.0
6,0.42251625657081604,0.5953063368797302,0.6418018341064453,0.026295730844140053,0.7752808928489685,0.050866201519966125,0.0,6.0
7,0.8993046879768372,0.5798884034156799,0.6739130020141602,0.05445544421672821,0.24719101190567017,0.08924948424100876,0.0,7.0
8,0.7295357584953308,0.6418712735176086,0.688460648059845,0.0403292179107666,0.550561785697937,0.07515337318181992,0.0,8.0
9,0.820811927318573,0.6168925166130066,0.6963309645652771,0.04603580757975578,0.40449437499046326,0.08266360312700272,0.0,9.0
10,0.8779995441436768,0.6130473613739014,0.6943948864936829,0.058252427726984024,0.33707866072654724,0.09933774918317795,0.0,10.0
11,0.7844808101654053,0.6423854827880859,0.7081788182258606,0.04583333432674408,0.49438202381134033,0.0838894173502922,0.0,11.0
12,0.8605068325996399,0.5876121520996094,0.6904044151306152,0.045996591448783875,0.30337077379226685,0.07988165318965912,0.0,12.0
13,0.894819438457489,0.5941107273101807,0.697192370891571,0.058139536529779434,0.2808988690376282,0.09633911401033401,0.0,13.0
14,0.8232787251472473,0.6291581988334656,0.6932609677314758,0.04903225973248482,0.42696627974510193,0.08796296268701553,0.0,14.0
15,0.9082754254341125,0.606479287147522,0.6851721405982971,0.06989247351884842,0.2921348214149475,0.11279826611280441,0.0,15.0
16,0.8840547204017639,0.6051294803619385,0.693898618221283,0.057851240038871765,0.31460675597190857,0.09773124009370804,0.0,16.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 50
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv3
target: dspln_PSYCHIATRY_0
debug: False
dataset: SCAR
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
