epoch,acc,bal_acc,auc,prec,rec,f1,loss,epoch
0,0.01995963230729103,0.5,0.4931144416332245,0.01995963230729103,1.0,0.039138082414865494,0.0,0.0
1,0.9800403714179993,0.5,0.5243334174156189,0.0,0.0,0.0,0.0,1.0
2,0.9800403714179993,0.5,0.606818675994873,0.0,0.0,0.0,0.0,2.0
3,0.9800403714179993,0.5,0.6223664879798889,0.0,0.0,0.0,0.0,3.0
4,0.9773491024971008,0.5096341371536255,0.6457820534706116,0.125,0.02247191034257412,0.03809523954987526,0.0,4.0
5,0.8423412442207336,0.611365795135498,0.6807858347892761,0.04852941259741783,0.37078651785850525,0.08582574874162674,0.0,5.0
6,0.8522090315818787,0.6108965873718262,0.6690972447395325,0.05047318711876869,0.3595505654811859,0.08852005749940872,0.0,6.0
7,0.9277865290641785,0.6054264307022095,0.7148124575614929,0.0854092538356781,0.26966291666030884,0.1297297328710556,0.0,7.0
8,0.7062122225761414,0.6024541854858398,0.6526110172271729,0.03361344709992409,0.49438202381134033,0.06294707208871841,0.0,8.0
9,0.7725947499275208,0.6198107600212097,0.6597305536270142,0.040714994072914124,0.4606741666793823,0.07481752336025238,0.0,9.0
10,0.7714734077453613,0.6522600650787354,0.6726994514465332,0.0458984375,0.5280898809432983,0.0844564214348793,0.0,10.0
11,0.8623010516166687,0.5830239057540894,0.6784896850585938,0.0450606532394886,0.2921348214149475,0.07807807624340057,0.0,11.0
12,0.7041937708854675,0.6344457864761353,0.6489111185073853,0.03759398311376572,0.5617977380752563,0.07047216594219208,0.0,12.0
13,0.7916572690010071,0.6075218915939331,0.6487465500831604,0.04048139974474907,0.4157303273677826,0.0737786665558815,0.0,13.0
14,0.7667638659477234,0.6168359518051147,0.6701514720916748,0.03969022259116173,0.4606741666793823,0.0730837807059288,0.0,14.0
15,0.7389548420906067,0.6026482582092285,0.6401742696762085,0.0354364737868309,0.4606741666793823,0.06581059098243713,0.0,15.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
