epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
0,0.9800403714179993,0.5,0.5823181867599487,0.0,0.0,1.0,0.0,0.0,0.0,0.9800403714179993,0.0,0.0,4370.0,89.0,0.0
1,0.9800403714179993,0.5,0.6243489384651184,0.0,0.0,1.0,0.0,0.0,0.0,0.9800403714179993,0.0,0.0,4370.0,89.0,1.0
2,0.9800403714179993,0.5,0.6100378036499023,0.0,0.0,1.0,0.0,0.0,0.0,0.9800403714179993,0.0,0.0,4370.0,89.0,2.0
3,0.9757792353630066,0.5143367648124695,0.6366801261901855,0.11999999731779099,0.033707864582538605,0.994965672492981,0.052631575614213943,0.0,0.11999999731779099,0.9806044697761536,3.0,22.0,4348.0,86.0,3.0
4,0.9042386412620544,0.5824055671691895,0.6826575994491577,0.057591624557971954,0.24719102680683136,0.9176201224327087,0.09341826289892197,0.0,0.057591624557971954,0.9835663437843323,22.0,360.0,4010.0,67.0,4.0
5,0.8827091455459595,0.5989394187927246,0.6665955185890198,0.055327869951725006,0.30337077379226685,0.8945080041885376,0.09358751773834229,0.0,0.055327869951725006,0.9843868017196655,27.0,461.0,3909.0,62.0,5.0
6,0.6920834183692932,0.6172601580619812,0.6597563028335571,0.03478260710835457,0.5393258333206177,0.6951945424079895,0.06535057723522186,0.0,0.03478260710835457,0.9866839647293091,48.0,1332.0,3038.0,41.0,6.0
7,0.6584435701370239,0.6386226415634155,0.6804437637329102,0.0356217622756958,0.617977499961853,0.6592677235603333,0.06736069172620773,0.0,0.0356217622756958,0.9883362054824829,55.0,1489.0,2881.0,34.0,7.0
8,0.705315113067627,0.6295143365859985,0.6856657862663269,0.03703703731298447,0.550561785697937,0.7084668278694153,0.06940510123968124,0.0,0.03703703731298447,0.9872449040412903,49.0,1274.0,3096.0,40.0,8.0
9,0.6884951591491699,0.6319401860237122,0.67015141248703,0.03637660667300224,0.5730336904525757,0.6908467411994934,0.0684104710817337,0.0,0.03637660667300224,0.9875695109367371,51.0,1351.0,3019.0,38.0,9.0
10,0.8869701623916626,0.590106189250946,0.6808705925941467,0.05376344174146652,0.2808988690376282,0.8993135094642639,0.09025270491838455,0.0,0.05376344174146652,0.9839759469032288,25.0,440.0,3930.0,64.0,10.0
11,0.819242000579834,0.5995808839797974,0.6600236892700195,0.04214559122920036,0.37078651785850525,0.8283752799034119,0.07568807899951935,0.0,0.04214559122920036,0.9847660660743713,33.0,750.0,3620.0,56.0,11.0
12,0.8261942267417908,0.6306456327438354,0.6916540265083313,0.04986876621842384,0.42696627974510193,0.8343249559402466,0.08930670469999313,0.0,0.04986876621842384,0.9862050414085388,38.0,724.0,3646.0,51.0,12.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
table: imbalance_fix
table_extra: Undersampling
dataset: SCAR
debug: False
max_tokens: 512
lr: 0.0001
weight_decay: 0
batch_size: 12
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\models
pretrained_file: bert-base-uncased
device: cuda:0
run_name: BERT_20220217-1122
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_0
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_0\BERT
