epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.9800403714179993,0.5,0.6231147050857544,0.0,0.0,0.0,0.3810655176639557
1,0.9800403714179993,0.5,0.6536034941673279,0.0,0.0,0.0,0.3720245063304901
2,0.9800403714179993,0.5,0.6706116795539856,0.0,0.0,0.0,0.35909268260002136
3,0.9800403714179993,0.5,0.6796878576278687,0.0,0.0,0.0,0.35158294439315796
4,0.9800403714179993,0.5,0.6915652751922607,0.0,0.0,0.0,0.3530358672142029

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
