epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9800403714179993,0.5,0.653008222579956,0.0,0.0,0.0,0.4080698490142822,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
1,0.9800403714179993,0.5,0.6670043468475342,0.0,0.0,0.0,0.3879564702510834,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
2,0.9800403714179993,0.5,0.6765279173851013,0.0,0.0,0.0,0.38104671239852905,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
3,0.9800403714179993,0.5,0.6887409090995789,0.0,0.0,0.0,0.3788760006427765,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
4,0.9800403714179993,0.5,0.6995590329170227,0.0,0.0,0.0,0.35881343483924866,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
