epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9800403714179993,0.5,0.6464685201644897,0.0,0.0,0.0,0.44515180587768555,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
1,0.9800403714179993,0.5,0.6560949087142944,0.0,0.0,0.0,0.4249863922595978,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
2,0.9800403714179993,0.5,0.6614274978637695,0.0,0.0,0.0,0.42099976539611816,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
3,0.9800403714179993,0.5,0.6741958856582642,0.0,0.0,0.0,0.4026102125644684,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
4,0.9780219793319702,0.5154809355735779,0.6831691861152649,0.20000000298023224,0.033707864582538605,0.057692304253578186,0.40189212560653687,0.2,0.9806480648064807,3.0,12.0,4358.0,86.0
5,0.9751065373420715,0.5139935612678528,0.6983416080474854,0.1071428582072258,0.033707864582538605,0.05128205195069313,0.3893625736236572,0.10714285714285714,0.9805912886481607,3.0,25.0,4345.0,86.0
6,0.9710697531700134,0.5504589676856995,0.7093924283981323,0.1666666716337204,0.11235955357551575,0.1342281997203827,0.3785950541496277,0.16666666666666666,0.9820413730393271,10.0,50.0,4320.0,79.0
7,0.9609777927398682,0.5783315896987915,0.7181600332260132,0.1367521435022354,0.17977528274059296,0.1553398072719574,0.3847391605377197,0.13675213675213677,0.9831874712114234,16.0,101.0,4269.0,73.0
8,0.9636690020561218,0.568697452545166,0.725832462310791,0.13861386477947235,0.15730337798595428,0.1473684310913086,0.35238486528396606,0.13861386138613863,0.9827902707664066,14.0,87.0,4283.0,75.0
9,0.9387755393981934,0.6000257134437561,0.7343043684959412,0.09649122506380081,0.24719101190567017,0.13880126178264618,0.3740169405937195,0.09649122807017543,0.9841645001181754,22.0,206.0,4164.0,67.0
10,0.9468490481376648,0.5986411571502686,0.7418854236602783,0.11052631586790085,0.23595505952835083,0.1505376249551773,0.33768028020858765,0.11052631578947368,0.9840712110564535,21.0,169.0,4201.0,68.0
11,0.9268894195556641,0.6269829869270325,0.7479147911071777,0.095563143491745,0.31460675597190857,0.14659686386585236,0.3521183133125305,0.09556313993174062,0.985357657225156,28.0,265.0,4105.0,61.0
12,0.9255438446998596,0.6428071856498718,0.751646876335144,0.10163934528827667,0.3483146131038666,0.15736040472984314,0.3381604552268982,0.10163934426229508,0.9860375541646605,31.0,274.0,4096.0,58.0
13,0.9062570333480835,0.6494780778884888,0.7552721500396729,0.08564231544733047,0.3820224702358246,0.13991768658161163,0.3488507568836212,0.08564231738035265,0.9864598719842442,34.0,363.0,4007.0,55.0
14,0.911639392375946,0.6467204689979553,0.7560820579528809,0.08894878625869751,0.37078651785850525,0.14347825944423676,0.32783421874046326,0.0889487870619946,0.9863013698630136,33.0,338.0,4032.0,56.0
15,0.9125364422798157,0.6526817083358765,0.756928026676178,0.09214092046022415,0.3820224702358246,0.1484716236591339,0.31524786353111267,0.0921409214092141,0.9865525672371638,34.0,335.0,4035.0,55.0
16,0.9084996581077576,0.6506222486495972,0.7585786581039429,0.08785529434680939,0.3820224702358246,0.1428571343421936,0.3141478896141052,0.08785529715762273,0.9864931237721022,34.0,353.0,4017.0,55.0
17,0.9114151000976562,0.657613217830658,0.7591880559921265,0.09308510273694992,0.3932584226131439,0.1505376249551773,0.3020857274532318,0.09308510638297872,0.9867744305657604,35.0,341.0,4029.0,54.0
18,0.8970621228218079,0.655794084072113,0.7580335736274719,0.08144796639680862,0.40449437499046326,0.1355932354927063,0.3210938572883606,0.08144796380090498,0.986806074184715,36.0,406.0,3964.0,53.0
19,0.9080511331558228,0.6558969616889954,0.7577378749847412,0.08951406925916672,0.3932584226131439,0.1458333283662796,0.2928687036037445,0.08951406649616368,0.9867256637168141,35.0,356.0,4014.0,54.0
20,0.8984076976776123,0.656480610370636,0.759918212890625,0.08256880939006805,0.40449437499046326,0.1371428668498993,0.30645814538002014,0.08256880733944955,0.9868257519264231,36.0,400.0,3970.0,53.0
21,0.8928011059761047,0.6591237187385559,0.760108470916748,0.07991360872983932,0.4157303273677826,0.13405796885490417,0.3132343292236328,0.07991360691144708,0.986986986986987,37.0,426.0,3944.0,52.0
22,0.8858488202095032,0.6610804200172424,0.761795163154602,0.07661290466785431,0.42696627974510193,0.1299145221710205,0.32121163606643677,0.07661290322580645,0.9871309613928841,38.0,458.0,3912.0,51.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 10
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
