epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9268894195556641,0.5774509310722351,0.6573445200920105,0.06909091025590897,0.21348313987255096,0.10439560562372208,1.3720375299453735,0.06909090909090909,0.9832695984703633,19.0,256.0,4114.0,70.0
1,0.8611796498298645,0.615473210811615,0.6584475040435791,0.05387205258011818,0.3595505654811859,0.09370424598455429,1.3590426445007324,0.05387205387205387,0.9852522639068564,32.0,562.0,3808.0,57.0
2,0.8246243596076965,0.6298447251319885,0.65957111120224,0.049414824694395065,0.42696627974510193,0.08857809752225876,1.3487939834594727,0.0494148244473342,0.9861788617886179,38.0,731.0,3639.0,51.0
3,0.7930029034614563,0.6357262134552002,0.6629059314727783,0.04575163498520851,0.47191011905670166,0.08341608941555023,1.3389501571655273,0.0457516339869281,0.9867269133013273,42.0,876.0,3494.0,47.0
4,0.7864992022514343,0.6379116773605347,0.6675596833229065,0.0453108549118042,0.483146071434021,0.08285164088010788,1.330133080482483,0.045310853530031614,0.9868945868945869,43.0,906.0,3464.0,46.0
5,0.802422046661377,0.6405317187309265,0.6728357076644897,0.04794520512223244,0.47191011905670166,0.08704663813114166,1.3232699632644653,0.04794520547945205,0.9868825006977393,42.0,834.0,3536.0,47.0
6,0.7988338470458984,0.6442046165466309,0.6777055263519287,0.04809843376278877,0.483146071434021,0.08748728036880493,1.3148735761642456,0.04809843400447427,0.9870967741935484,43.0,851.0,3519.0,46.0
7,0.8060103058815002,0.6533695459365845,0.6828683614730835,0.05092592537403107,0.49438202381134033,0.09233998507261276,1.3070414066314697,0.05092592592592592,0.9874826147426982,44.0,820.0,3550.0,45.0
8,0.8291096687316895,0.6486437320709229,0.6889491677284241,0.054304637014865875,0.4606741666793823,0.09715639799833298,1.30365788936615,0.054304635761589407,0.9870410367170627,41.0,714.0,3656.0,48.0
9,0.8248485922813416,0.6574769020080566,0.6955724954605103,0.05526992306113243,0.483146071434021,0.09919262677431107,1.2937347888946533,0.055269922879177376,0.9875033958163543,43.0,735.0,3635.0,46.0
10,0.8436869382858276,0.6395701169967651,0.7009667754173279,0.0555555559694767,0.42696627974510193,0.09831824153661728,1.2912428379058838,0.05555555555555555,0.9864900662251656,38.0,646.0,3724.0,51.0
11,0.8501906394958496,0.6483917236328125,0.7074332237243652,0.05936073139309883,0.43820226192474365,0.10455764085054398,1.284348964691162,0.0593607305936073,0.9868490268279853,39.0,618.0,3752.0,50.0
12,0.8566943407058716,0.651709794998169,0.7150130271911621,0.06210191175341606,0.43820226192474365,0.10878662019968033,1.2769041061401367,0.06210191082802548,0.986948577394936,39.0,589.0,3781.0,50.0
13,0.873065710067749,0.6600621938705444,0.7209935188293457,0.07027027010917664,0.43820226192474365,0.12111800909042358,1.2734721899032593,0.07027027027027027,0.9871926229508197,39.0,516.0,3854.0,50.0
14,0.8793451189994812,0.6522587537765503,0.7271449565887451,0.07074569910764694,0.4157303273677826,0.12091503292322159,1.2681101560592651,0.07074569789674952,0.9867886178861789,37.0,486.0,3884.0,52.0
15,0.8867459297180176,0.656034529209137,0.7327694296836853,0.07551020383834839,0.4157303273677826,0.12780655920505524,1.2622298002243042,0.07551020408163266,0.9868984630889392,37.0,453.0,3917.0,52.0
16,0.8972864151000977,0.6559085249900818,0.7375311851501465,0.08163265138864517,0.40449437499046326,0.13584905862808228,1.2617871761322021,0.08163265306122448,0.9868093578894973,36.0,405.0,3965.0,53.0
17,0.9044628739356995,0.6650733947753906,0.7435888051986694,0.09002432972192764,0.4157303273677826,0.14800000190734863,1.2585313320159912,0.09002433090024331,0.9871541501976284,37.0,374.0,3996.0,52.0
18,0.9044628739356995,0.6650733947753906,0.7484688758850098,0.09002432972192764,0.4157303273677826,0.14800000190734863,1.2531447410583496,0.09002433090024331,0.9871541501976284,37.0,374.0,3996.0,52.0
19,0.9132092595100403,0.6530249714851379,0.7530301213264465,0.09289617836475372,0.3820224702358246,0.14945054054260254,1.256532073020935,0.09289617486338798,0.9865624236501344,34.0,332.0,4038.0,55.0
20,0.9073783159255981,0.6555536985397339,0.7578690052032471,0.08883249014616013,0.3932584226131439,0.14492754638195038,1.2414594888687134,0.08883248730964467,0.9867158671586715,35.0,359.0,4011.0,54.0
21,0.9114151000976562,0.657613217830658,0.7613940834999084,0.09308510273694992,0.3932584226131439,0.1505376249551773,1.2433388233184814,0.09308510638297872,0.9867744305657604,35.0,341.0,4029.0,54.0
22,0.9176945686340332,0.6553133130073547,0.7643406391143799,0.09826589375734329,0.3820224702358246,0.15632183849811554,1.2481569051742554,0.09826589595375723,0.986627765621201,34.0,312.0,4058.0,55.0
23,0.916348934173584,0.6546267867088318,0.7674954533576965,0.09659090638160706,0.3820224702358246,0.15419501066207886,1.2450214624404907,0.09659090909090909,0.9866082298514731,34.0,318.0,4052.0,55.0
24,0.931374728679657,0.6622927188873291,0.769431471824646,0.11929824203252792,0.3820224702358246,0.1818181723356247,1.2742735147476196,0.11929824561403508,0.986823191183517,34.0,251.0,4119.0,55.0
25,0.922852635383606,0.6579448580741882,0.771334171295166,0.10526315867900848,0.3820224702358246,0.16504855453968048,1.258651852607727,0.10526315789473684,0.9867021276595744,34.0,289.0,4081.0,55.0
26,0.9257681369781494,0.6594322919845581,0.7737793922424316,0.10967741906642914,0.3820224702358246,0.17042607069015503,1.2648265361785889,0.10967741935483871,0.9867437936852254,34.0,276.0,4094.0,55.0
27,0.9405696392059326,0.661480188369751,0.7761319875717163,0.13636364042758942,0.37078651785850525,0.1993957757949829,1.299021601676941,0.13636363636363635,0.9867204173583116,33.0,209.0,4161.0,56.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 10
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220124-1126
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_0
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_0\CNN
