epoch,acc,bal_acc,auc,prec,rec,f1,loss
0,0.3817483623221143,0.48977429864443,0.48977429864443,0.3817483623221143,0.3817483623221143,0.3817483623221143,1.3966992703273142
1,0.506889541450192,0.5035146347084583,0.5035146347084581,0.506889541450192,0.506889541450192,0.506889541450192,1.3967728499028322
2,0.7126722385362548,0.5416937291793249,0.541693729179325,0.7126722385362548,0.7126722385362548,0.7126722385362548,1.3954590438938828
3,0.750621188163542,0.5666196128140124,0.5666196128140124,0.750621188163542,0.750621188163542,0.750621188163542,1.3855995248547561
4,0.6498757623672916,0.5764577091495736,0.5764577091495736,0.6498757623672916,0.6498757623672916,0.6498757623672916,1.3537587103226203
5,0.6263835554551616,0.6034394707620105,0.6034394707620105,0.6263835554551616,0.6263835554551616,0.6263835554551616,1.301621452295523
6,0.831262706121527,0.5854917869639004,0.5854917869639004,0.831262706121527,0.831262706121527,0.831262706121527,1.6695385908694576
7,0.8355545516150892,0.5765480630224811,0.5765480630224812,0.8355545516150892,0.8355545516150892,0.8355545516150892,1.7819967125173952
8,0.5080189744748136,0.5541900626453519,0.5541900626453519,0.5080189744748136,0.5080189744748136,0.5080189744748136,1.4285055079477296
9,0.7517506211881635,0.5616291981813992,0.5616291981813992,0.7517506211881635,0.7517506211881635,0.7517506211881635,1.3773071337089264
10,0.8007680144567427,0.5866349598776426,0.5866349598776426,0.8007680144567427,0.8007680144567427,0.8007680144567427,1.4087186312075142
11,0.8113846848881862,0.55865144880471,0.5586514488047098,0.8113846848881862,0.8113846848881862,0.8113846848881862,1.7441000787259864
12,0.9082900384007229,0.5301546229755494,0.5301546229755494,0.9082900384007229,0.9082900384007229,0.9082900384007229,1.8862739567705196
13,0.3831036819516603,0.5405649605061912,0.5405649605061913,0.3831036819516603,0.3831036819516603,0.38310368195166034,1.5798809957161224
14,0.74791054890445,0.6097694797712083,0.6097694797712082,0.74791054890445,0.74791054890445,0.74791054890445,1.42372115288707
15,0.7199006098938333,0.5843473045737392,0.5843473045737392,0.7199006098938333,0.7199006098938333,0.7199006098938333,1.546528579519807
16,0.7269030946464875,0.5823529719876804,0.5823529719876804,0.7269030946464875,0.7269030946464875,0.7269030946464875,1.5826346323215703
17,0.6975378360063248,0.5673725617549079,0.5673725617549079,0.6975378360063248,0.6975378360063248,0.6975378360063248,1.4990794223418338

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 32
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
