epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9800403714179993,0.5,0.5048620104789734,0.0,0.0,0.0,0.5016371011734009,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
1,0.9800403714179993,0.5,0.5250726938247681,0.0,0.0,0.0,0.4796118438243866,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
2,0.9800403714179993,0.5,0.5572931170463562,0.0,0.0,0.0,0.47430962324142456,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
3,0.9800403714179993,0.5,0.5872303247451782,0.0,0.0,0.0,0.4665234684944153,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
4,0.9800403714179993,0.5,0.614077091217041,0.0,0.0,0.0,0.4616433382034302,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
5,0.9800403714179993,0.5,0.6322191953659058,0.0,0.0,0.0,0.454131156206131,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
6,0.9800403714179993,0.5,0.6363767385482788,0.0,0.0,0.0,0.4534855782985687,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
7,0.9800403714179993,0.5,0.6393283605575562,0.0,0.0,0.0,0.4527369439601898,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
8,0.9800403714179993,0.5,0.6418198347091675,0.0,0.0,0.0,0.441315233707428,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
9,0.9800403714179993,0.5,0.6482066512107849,0.0,0.0,0.0,0.43333834409713745,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 10
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
