epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.06077595800161362,0.5153202414512634,0.5948023796081543,0.020584795624017715,0.9887640476226807,0.04032997041940689,1.3703129291534424,0.020584795321637428,0.9945652173913043,88.0,4187.0,183.0,1.0
1,0.5537115931510925,0.5906937122344971,0.6340665221214294,0.027819175273180008,0.6292135119438171,0.053282588720321655,1.3507767915725708,0.027819175360158967,0.9865085854456255,56.0,1957.0,2413.0,33.0
2,0.557075560092926,0.6089206337928772,0.6516725420951843,0.029441118240356445,0.6629213690757751,0.056378405541181564,1.3075991868972778,0.02944111776447106,0.9877800407331976,59.0,1945.0,2425.0,30.0
3,0.7775285840034485,0.6168243885040283,0.6458103060722351,0.04069175943732262,0.449438214302063,0.0746268630027771,1.3571709394454956,0.04069175991861648,0.9859033371691599,40.0,943.0,3427.0,49.0
4,0.797712504863739,0.5775898098945618,0.6517033576965332,0.035428572446107864,0.3483146131038666,0.06431535631418228,1.4868236780166626,0.03542857142857143,0.9838169642857143,31.0,844.0,3526.0,58.0
5,0.8450325131416321,0.5742138624191284,0.6551229953765869,0.03975535184144974,0.2921348214149475,0.06998653709888458,1.6950010061264038,0.039755351681957186,0.983442838370565,26.0,628.0,3742.0,63.0
6,0.8970621228218079,0.5732406973838806,0.6603296399116516,0.05097087472677231,0.23595505952835083,0.08383233845233917,2.191737651824951,0.050970873786407765,0.9831974301952063,21.0,391.0,3979.0,68.0
7,0.9004260897636414,0.5804604887962341,0.6574139595031738,0.055137842893600464,0.24719101190567017,0.0901639312505722,2.303236961364746,0.05513784461152882,0.9834975369458128,22.0,377.0,3993.0,67.0
8,0.9141063094139099,0.5654256343841553,0.6600081920623779,0.05454545468091965,0.20224718749523163,0.0859188586473465,2.7763419151306152,0.05454545454545454,0.9828045531605716,18.0,312.0,4058.0,71.0
9,0.9428122639656067,0.580070972442627,0.6563957929611206,0.0891089141368866,0.20224718749523163,0.12371134757995605,3.3862791061401367,0.0891089108910891,0.9833215879727507,18.0,184.0,4186.0,71.0
10,0.9524556994438171,0.5574730634689331,0.6585028171539307,0.08724832534790039,0.14606741070747375,0.10924369841814041,3.5543012619018555,0.087248322147651,0.9823665893271462,13.0,136.0,4234.0,76.0
11,0.9508858323097229,0.5676792860031128,0.6444810628890991,0.09375,0.16853933036327362,0.12048191577196121,3.796950578689575,0.09375,0.9827866945801349,15.0,145.0,4225.0,74.0
12,0.9488674402236938,0.5611459612846375,0.6457203030586243,0.08383233845233917,0.15730337798595428,0.1093750074505806,4.766942024230957,0.08383233532934131,0.9825256290773532,14.0,153.0,4217.0,75.0
13,0.9475218653678894,0.5549558997154236,0.6548864841461182,0.0760233923792839,0.14606741070747375,0.09999999403953552,4.593233585357666,0.07602339181286549,0.9822761194029851,13.0,158.0,4212.0,76.0
14,0.9605292677879333,0.5505849123001099,0.637096643447876,0.10091742873191833,0.12359550595283508,0.1111111119389534,5.663224220275879,0.10091743119266056,0.9820689655172414,11.0,98.0,4272.0,78.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
