epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.9800403714179993,0.5,0.4019952118396759,0.0,0.0,1.0,0.0,0.6588205695152283,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
1,0.9800403714179993,0.5,0.41698890924453735,0.0,0.0,1.0,0.0,0.5836531519889832,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
2,0.9800403714179993,0.5,0.4182474911212921,0.0,0.0,1.0,0.0,0.5196695923805237,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
3,0.9800403714179993,0.5,0.4194301962852478,0.0,0.0,1.0,0.0,0.5122395157814026,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
4,0.9800403714179993,0.5,0.4209240674972534,0.0,0.0,1.0,0.0,0.5035830140113831,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0
5,0.9800403714179993,0.5,0.4231622815132141,0.0,0.0,1.0,0.0,0.49770164489746094,0.0,0.9800403677954699,0.0,0.0,4370.0,89.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: undersampling
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
table: imbalance_fix
table_extra: Undersampling
dataset: SCAR
debug: False
bidirectional: False
num_layers: 2
hidden_dim: 128
mode: rand
words_dim: 300
embed_dim: 300
weight_decay: 0
dropout: 0.5
lr: 0.0001
batch_size: 64
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
results_path: results\reg_lstm
device: cuda:0
target_classes: 1
vocab_size: 6571
run_name: LSTM_20220217-1117
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_0
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_0\LSTM
