epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.01054047979414463,0.500113308429718,0.6278091073036194,0.010318528860807419,1.0,0.00022660322429146618,0.02042628824710846,1.3952746391296387,0.01031852848811126,1.0,46.0,4412.0,1.0,0.0
1,0.1468939185142517,0.5474881529808044,0.6330752372741699,0.01144045777618885,0.95652174949646,0.13845457136631012,0.022610483691096306,1.386507511138916,0.011440457618304731,0.9967373572593801,44.0,3802.0,611.0,2.0
2,0.4130971133708954,0.5529019832611084,0.6371983885765076,0.012144212611019611,0.695652186870575,0.41015180945396423,0.023871690034866333,1.3779410123825073,0.012144212523719165,0.9923245614035088,32.0,2603.0,1810.0,14.0
3,0.43036556243896484,0.5616261959075928,0.6438979506492615,0.01250977348536253,0.695652186870575,0.42760026454925537,0.02457757480442524,1.370595932006836,0.012509773260359656,0.9926354550236718,32.0,2526.0,1887.0,14.0
4,0.46355685591697693,0.556882381439209,0.6460014581680298,0.01246882788836956,0.6521739363670349,0.4615907669067383,0.024469822645187378,1.3637797832489014,0.012468827930174564,0.9922065270336093,30.0,2376.0,2037.0,16.0
5,0.5167077779769897,0.5622222423553467,0.6492773294448853,0.012933025136590004,0.6086956262588501,0.515748918056488,0.025327906012535095,1.3571664094924927,0.012933025404157044,0.992153443766347,28.0,2137.0,2276.0,18.0
6,0.5288181304931641,0.568340539932251,0.652715802192688,0.013263856060802937,0.6086956262588501,0.5279855132102966,0.025961983948946,1.3506019115447998,0.013263855992420654,0.9923339011925043,28.0,2083.0,2330.0,18.0
7,0.5685130953788757,0.5883949398994446,0.6581542491912842,0.014477766118943691,0.6086956262588501,0.5680942535400391,0.028282828629016876,1.3439146280288696,0.014477766287487074,0.9928712871287129,28.0,1906.0,2507.0,18.0
8,0.5987889766693115,0.5929343700408936,0.6631691455841064,0.015025041997432709,0.5869565010070801,0.5989122986793518,0.029300056397914886,1.3371661901474,0.015025041736227046,0.992862509391435,27.0,1770.0,2643.0,19.0
9,0.6559766530990601,0.6110700368881226,0.6666370630264282,0.016883116215467453,0.5652173757553101,0.6569227576255798,0.032786883413791656,1.332685112953186,0.016883116883116882,0.9931483384720795,26.0,1514.0,2899.0,20.0
10,0.6712267398834229,0.6187745332717896,0.6736125349998474,0.01766304299235344,0.5652173757553101,0.6723317503929138,0.03425559774041176,1.3256464004516602,0.017663043478260868,0.9933043187144291,26.0,1446.0,2967.0,20.0
11,0.7243776917457581,0.6241145133972168,0.6816446781158447,0.019496344029903412,0.52173912525177,0.7264899015426636,0.03758809715509415,1.3195562362670898,0.01949634443541836,0.993184634448575,24.0,1207.0,3206.0,22.0
12,0.7669880986213684,0.6456418037414551,0.6871792078018188,0.023054754361510277,0.52173912525177,0.7695445418357849,0.04415823146700859,1.3155053853988647,0.023054755043227664,0.9935634874195436,24.0,1017.0,3396.0,22.0
13,0.7815653681755066,0.6422501802444458,0.6951595544815063,0.023613963276147842,0.5,0.7845003604888916,0.04509803652763367,1.3084784746170044,0.023613963039014373,0.9934002869440459,23.0,951.0,3462.0,23.0
14,0.8111684322357178,0.6464496850967407,0.7021251916885376,0.02619047649204731,0.47826087474823,0.8146385550498962,0.04966140165925026,1.3029690980911255,0.02619047619047619,0.9933683337938657,22.0,818.0,3595.0,24.0
15,0.8481722474098206,0.6543881893157959,0.7082729935646057,0.03120356611907482,0.45652174949645996,0.8522546887397766,0.05841446667909622,1.3018354177474976,0.031203566121842496,0.9933967247754887,21.0,652.0,3761.0,25.0
16,0.8466023802757263,0.6643513441085815,0.7173987030982971,0.032258063554763794,0.47826087474823,0.8504418730735779,0.060439564287662506,1.290682077407837,0.03225806451612903,0.9936457505957109,22.0,660.0,3753.0,24.0
17,0.8753083944320679,0.6573414206504822,0.7256622910499573,0.036363635212183,0.43478259444236755,0.8799002766609192,0.06711409240961075,1.2886946201324463,0.03636363636363636,0.9933486825275006,20.0,530.0,3883.0,26.0
18,0.8936981558799744,0.6558759212493896,0.7308101654052734,0.04077253118157387,0.41304346919059753,0.8987083435058594,0.07421875,1.2886823415756226,0.0407725321888412,0.9932381667918858,19.0,447.0,3966.0,27.0
19,0.8892128467559814,0.6536098718643188,0.738090991973877,0.039094649255275726,0.41304346919059753,0.8941763043403625,0.0714285746216774,1.277235507965088,0.03909465020576132,0.9932041278630758,19.0,467.0,3946.0,27.0
20,0.9208342432975769,0.6695854067802429,0.7438054084777832,0.05507246404886246,0.41304346919059753,0.9261273741722107,0.09718669950962067,1.287937879562378,0.05507246376811594,0.9934370442391833,19.0,326.0,4087.0,27.0
21,0.918143093585968,0.6682257652282715,0.7517364621162415,0.053221289068460464,0.41304346919059753,0.9234080910682678,0.09429280459880829,1.2761083841323853,0.05322128851540616,0.9934178449536811,19.0,338.0,4075.0,27.0
22,0.9244225025177002,0.6606419682502747,0.7578843235969543,0.055045872926712036,0.3913043439388275,0.9299796223640442,0.0965147539973259,1.2750762701034546,0.05504587155963303,0.9932236205227493,18.0,309.0,4104.0,28.0
23,0.9363085627555847,0.655890703201294,0.7615395188331604,0.0625,0.3695652186870575,0.942216157913208,0.10691823810338974,1.286492943763733,0.0625,0.9930737998566993,17.0,255.0,4158.0,29.0
24,0.9345144629478455,0.6657405495643616,0.7651651501655579,0.06382978707551956,0.3913043439388275,0.9401767253875732,0.10975610464811325,1.278581142425537,0.06382978723404255,0.9932966243715585,18.0,264.0,4149.0,28.0
25,0.939896821975708,0.6577035188674927,0.7683425545692444,0.06640625,0.3695652186870575,0.9458418488502502,0.11258278042078018,1.2874292135238647,0.06640625,0.993100166547704,17.0,239.0,4174.0,29.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_12
table: see_psych
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220129-1557
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_12
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_12\CNN
