epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
1,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
2,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
3,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
4,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
5,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
6,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
7,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
8,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0
9,0.6979143023490906,0.7085109949111938,0.7085109949111938,0.04266088083386421,0.7195122241973877,0.6975097060203552,0.080546073615551,0.0,0.04266088214027477,0.9925227568270482,59.0,1324.0,3053.0,23.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 10
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_60
table: see_psych
dataset: SCAR
debug: False
max_features: 1000
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.092
run_name: BoW_20220129-2138
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60\BoW
