epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.7313299179077148,0.6537318229675293,0.6761230230331421,0.038842976093292236,0.5731707215309143,0.7342929244041443,0.07275541871786118,1.3632742166519165,0.03884297520661157,0.9892274546014158,47.0,1163.0,3214.0,35.0
1,0.7124915719032288,0.6441361904144287,0.6743732690811157,0.0363214835524559,0.5731707215309143,0.7151016592979431,0.06831395626068115,1.3483712673187256,0.03632148377125193,0.9889415481832543,47.0,1247.0,3130.0,35.0
2,0.6770576238632202,0.6380540132522583,0.6751784682273865,0.03365384787321091,0.5975610017776489,0.6785469651222229,0.06371911615133286,1.334270715713501,0.03365384615384615,0.989010989010989,49.0,1407.0,2970.0,33.0
3,0.7028481960296631,0.6452074646949768,0.6768683195114136,0.03584764897823334,0.5853658318519592,0.7050490975379944,0.06755805760622025,1.3231887817382812,0.035847647498132934,0.9891025641025641,48.0,1291.0,3086.0,34.0
4,0.7098004221916199,0.6487487554550171,0.6807814836502075,0.03669724613428116,0.5853658318519592,0.7121316194534302,0.06906474381685257,1.3130265474319458,0.03669724770642202,0.9892097746747064,48.0,1260.0,3117.0,34.0
5,0.7407490611076355,0.6645129323005676,0.686242401599884,0.041025642305612564,0.5853658318519592,0.743660032749176,0.07667732238769531,1.3042913675308228,0.041025641025641026,0.9896625114016419,48.0,1122.0,3255.0,34.0
6,0.7555505633354187,0.6600856781005859,0.6924945116043091,0.04181818291544914,0.5609756112098694,0.7591958045959473,0.07783417403697968,1.2947051525115967,0.04181818181818182,0.9892825245608812,46.0,1054.0,3323.0,36.0
7,0.7586902976036072,0.6616849899291992,0.6993346214294434,0.042357273399829865,0.5609756112098694,0.7623943090438843,0.07876712083816528,1.2844618558883667,0.0423572744014733,0.9893270085976875,46.0,1040.0,3337.0,36.0
8,0.7539806962013245,0.6592860817909241,0.7048568725585938,0.04155375063419342,0.5609756112098694,0.7575965523719788,0.07737594842910767,1.2746981382369995,0.04155374887082204,0.9892601431980907,46.0,1061.0,3316.0,36.0
9,0.7914330363273621,0.672379732131958,0.7122570276260376,0.04797441512346268,0.5487805008888245,0.7959789633750916,0.0882352963089943,1.2688021659851074,0.04797441364605544,0.9894916216983811,45.0,893.0,3484.0,37.0
10,0.8089257478713989,0.6812899112701416,0.719002366065979,0.05232558026909828,0.5487805008888245,0.8137993812561035,0.09554139524698257,1.2607498168945312,0.05232558139534884,0.9897193664906918,45.0,815.0,3562.0,37.0
11,0.819242000579834,0.6685947179794312,0.7253381013870239,0.05198019742965698,0.5121951103210449,0.8249942660331726,0.09438202530145645,1.2529655694961548,0.05198019801980198,0.9890440975075322,42.0,766.0,3611.0,40.0
12,0.832473635673523,0.6753344535827637,0.7325153350830078,0.05607476457953453,0.5121951103210449,0.8384738564491272,0.10108303278684616,1.2453076839447021,0.056074766355140186,0.9892183288409704,42.0,707.0,3670.0,40.0
13,0.8335949778556824,0.6759056448936462,0.7397510409355164,0.05645161122083664,0.5121951103210449,0.8396161794662476,0.10169491171836853,1.2348767518997192,0.056451612903225805,0.9892328398384926,42.0,702.0,3675.0,40.0
14,0.8504148721694946,0.6725065112113953,0.7479423880577087,0.060150377452373505,0.4878048896789551,0.8572081327438354,0.10709504783153534,1.2282826900482178,0.06015037593984962,0.988929889298893,40.0,625.0,3752.0,42.0
15,0.8506391644477844,0.6726207733154297,0.7532166242599487,0.0602409653365612,0.4878048896789551,0.8574365973472595,0.10723860561847687,1.2180418968200684,0.060240963855421686,0.9889328063241106,40.0,624.0,3753.0,42.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_60
table: see_psych
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-05
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220129-1643
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60\CNN
