epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.01838977262377739,0.5,0.545948326587677,0.01838977262377739,1.0,0.0,0.036115389317274094,1.3929760456085205,0.01838977349181431,0.0,82.0,4377.0,0.0,0.0
1,0.029827315360307693,0.4998425841331482,0.5766855478286743,0.018384022638201714,0.9878048896789551,0.011880283243954182,0.03609625995159149,1.3913331031799316,0.01838402178847027,0.9811320754716981,81.0,4325.0,52.0,1.0
2,0.1957838088274002,0.5125754475593567,0.5986392498016357,0.018945634365081787,0.8414633870124817,0.1836874634027481,0.037056926637887955,1.3901352882385254,0.018945634266886325,0.9840881272949816,69.0,3573.0,804.0,13.0
3,0.4483067989349365,0.5694023966789246,0.6125673055648804,0.02287319488823414,0.6951219439506531,0.44368287920951843,0.04428904503583908,1.3890317678451538,0.022873194221508828,0.987290289781393,57.0,2435.0,1942.0,25.0
4,0.5521417260169983,0.5923758745193481,0.6236563920974731,0.025755325332283974,0.6341463327407837,0.5506054162979126,0.0495002381503582,1.3877266645431519,0.025755324418028726,0.9877049180327869,52.0,1967.0,2410.0,30.0
5,0.6138147711753845,0.6058400869369507,0.6313587427139282,0.02819332480430603,0.5975610017776489,0.6141192317008972,0.053846146911382675,1.3864182233810425,0.02819332566168009,0.9878721058434399,49.0,1689.0,2688.0,33.0
6,0.6570979952812195,0.6219038367271423,0.6368461847305298,0.031108230352401733,0.5853658318519592,0.6584418416023254,0.05907692760229111,1.3851104974746704,0.031108230719377836,0.9883401920438958,48.0,1495.0,2882.0,34.0
7,0.6461089849472046,0.628273069858551,0.6418807506561279,0.03132832050323486,0.6097561120986938,0.6467900276184082,0.05959475412964821,1.3835539817810059,0.03132832080200501,0.988822913028292,50.0,1546.0,2831.0,32.0
8,0.6564251780509949,0.6335278153419495,0.6455167531967163,0.032258063554763794,0.6097561120986938,0.6572995185852051,0.061274509876966476,1.382222056388855,0.03225806451612903,0.9889996562392575,50.0,1500.0,2877.0,32.0
9,0.6698811650276184,0.6343984603881836,0.6480855941772461,0.03293010592460632,0.5975610017776489,0.671235978603363,0.062420375645160675,1.3807910680770874,0.03293010752688172,0.9888926287445304,49.0,1439.0,2938.0,33.0
10,0.6842341423034668,0.6297427415847778,0.649643063545227,0.03309859335422516,0.5731707215309143,0.6863148212432861,0.06258323043584824,1.3794430494308472,0.03309859154929577,0.9884830536360645,47.0,1373.0,3004.0,35.0
11,0.6914106011390686,0.6214315891265869,0.6513259410858154,0.03251444920897484,0.5487805008888245,0.6940826773643494,0.06139153614640236,1.3780802488327026,0.03251445086705202,0.9879674796747967,45.0,1339.0,3038.0,37.0
12,0.6909620761871338,0.6212031245231628,0.6532483696937561,0.03246753290295601,0.5487805008888245,0.6936257481575012,0.06130790337920189,1.3766112327575684,0.032467532467532464,0.9879596485519037,45.0,1341.0,3036.0,37.0
13,0.7115945219993591,0.6257293224334717,0.6541985273361206,0.03405572846531868,0.5365853905677795,0.714873194694519,0.06404658406972885,1.3753987550735474,0.034055727554179564,0.9880012630249447,44.0,1248.0,3129.0,38.0
14,0.7149584889411926,0.6274428367614746,0.6555930376052856,0.03445575386285782,0.5365853905677795,0.7183002233505249,0.06475348770618439,1.3739736080169678,0.03445575567736883,0.9880578252671276,44.0,1233.0,3144.0,38.0
15,0.7057636380195618,0.6287425756454468,0.6563828587532043,0.034090910106897354,0.5487805008888245,0.7087045907974243,0.06419400870800018,1.3724942207336426,0.03409090909090909,0.9882128066263142,45.0,1275.0,3102.0,37.0
16,0.7102489471435547,0.6250438690185547,0.6566949486732483,0.033898305147886276,0.5365853905677795,0.7135024070739746,0.06376811861991882,1.3712228536605835,0.03389830508474576,0.9879784878203101,44.0,1254.0,3123.0,38.0
17,0.7122673392295837,0.6260719895362854,0.6574304699897766,0.034134987741708755,0.5365853905677795,0.7155585885047913,0.06418672204017639,1.3698861598968506,0.03413498836307215,0.98801261829653,44.0,1245.0,3132.0,38.0
18,0.7113702893257141,0.6256150603294373,0.6582078337669373,0.034029390662908554,0.5365853905677795,0.714644730091095,0.06400001049041748,1.3685663938522339,0.03402938901778809,0.9879974731522426,44.0,1249.0,3128.0,38.0
19,0.6992599368095398,0.6254297494888306,0.6586925983428955,0.03335804119706154,0.5487805008888245,0.7020790576934814,0.06289307773113251,1.3670952320098877,0.033358042994810974,0.9881028938906753,45.0,1304.0,3073.0,37.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1000
batch_size: 8
seed: 3435
patience: 10
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_60
table: see_psych
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 1e-06
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
target_classes: 1
vocab_size: 21529
run_name: CNN_20220129-2151
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\dspln_PSYCHIATRY_60\CNN
